field,dtype,non_null_count,non_null_pct,unique_non_null,official_field,official_definition,unit_or_code_meaning,valid_values,missing_value_meaning,variable_family,notes
INDEX_NR,int64,348146,100.0,348139,INDEX NR,Individual record number,,Pending confirmation from source codes and observed values,Pending manual review,administrative_and_identifiers,
INCIDENT_DATE,object,348146,100.0,13223,INCIDENT_DATE,Date strike occurred,,Pending confirmation from source codes and observed values,Pending manual review,time,
INCIDENT_MONTH,int64,348146,100.0,12,INCIDENT_MONTH,Month strike occurred,,Pending confirmation from source codes and observed values,Pending manual review,time,
INCIDENT_YEAR,int64,348146,100.0,37,INCIDENT_YEAR,Year strike occurred,,Pending confirmation from source codes and observed values,Pending manual review,time,
TIME,object,226783,65.14,1441,TIME,Hour and minute in local time,,Pending confirmation from source codes and observed values,Pending manual review,flight_context,
TIME_OF_DAY,object,196417,56.42,4,TIME_OF_DAY,Light conditions,,Pending confirmation from source codes and observed values,Pending manual review,flight_context,
AIRPORT_ID,object,348146,100.0,2779,AIRPORT_ID,International Civil Aviation Organization airport identifier for location of strike whether it was on or off airport,,Pending confirmation from source codes and observed values,Pending manual review,geography,
AIRPORT,object,348146,100.0,2779,AIRPORT,Name of airport,,Pending confirmation from source codes and observed values,Pending manual review,geography,
AIRPORT_LATITUDE,float64,0,0.0,0,,,,Pending confirmation from source codes and observed values,Pending manual review,geography,
AIRPORT_LONGITUDE,float64,0,0.0,0,,,,Pending confirmation from source codes and observed values,Pending manual review,geography,
RUNWAY,object,262192,75.31,1560,RUNWAY,Runway,,Pending confirmation from source codes and observed values,Pending manual review,flight_context,
STATE,object,301216,86.52,67,STATE,State,,Pending confirmation from source codes and observed values,Pending manual review,geography,
FAAREGION,object,301216,86.52,10,FAAREGION,FAA Region where airport is located,,Pending confirmation from source codes and observed values,Pending manual review,geography,
LOCATION,object,45225,12.99,10213,LOCATION,Various information about aircraft location if enroute or airport where strike evidence was found. Some locations show the two airports for the flight departure and arrival if pilot was unaware of the strike.,,Pending confirmation from source codes and observed values,Pending manual review,geography,
ENROUTE_STATE,object,6044,1.74,58,ENROUTE,"If strike did not occur on approach, climb, landing roll, taxi or take-off, aircraft was enroute. This shows location.",,Pending confirmation from source codes and observed values,Pending manual review,geography,
OPID,object,348143,100.0,631,OPID,Airline operator code,,Pending confirmation from source codes and observed values,Pending manual review,administrative_and_identifiers,
OPERATOR,object,348145,100.0,625,OPERATOR,"A three letter International Civil Aviation Organization code for aircraft operators. (BUS = business, PVT = private aircraft other than business, GOV = government aircraft, MIL - military aircraft.)",,Pending confirmation from source codes and observed values,Pending manual review,administrative_and_identifiers,
REG,object,214611,61.64,47260,REG,Aircraft registration,,Pending confirmation from source codes and observed values,Pending manual review,administrative_and_identifiers,
FLT,object,166805,47.91,11796,FLT,Flight number,,Pending confirmation from source codes and observed values,Pending manual review,administrative_and_identifiers,
AIRCRAFT,object,348146,100.0,636,ATYPE,Aircraft,,Pending confirmation from source codes and observed values,Pending manual review,aircraft,
