field,role,available_before_or_at_scenario,leakage_risk,binary_damage_use,severity_use,component_use,rationale,review_status
INDEX_NR,identifier,No or not applicable,Not used,Exclude,Exclude,Exclude,Identifier; not a scenario predictor,Approved in Notebook 02
INCIDENT_DATE,pending_review,No or not applicable,Not used,Exclude by default,Exclude,Exclude,Requires documented approval,Manual review required
INCIDENT_MONTH,pending_review,No or not applicable,Not used,Exclude by default,Exclude,Exclude,Requires documented approval,Manual review required
INCIDENT_YEAR,pending_review,No or not applicable,Not used,Exclude by default,Exclude,Exclude,Requires documented approval,Manual review required
TIME,pending_review,No or not applicable,Not used,Exclude by default,Exclude,Exclude,Requires documented approval,Manual review required
TIME_OF_DAY,extended_feature,Yes,Low/controlled,Extended,Candidate,Candidate,Contextual predictor,Approved in Notebook 02
AIRPORT_ID,airport_feature,Yes,Low/controlled,Airport-aware only,Exclude,Exclude,Tests airport dependence,Approved in Notebook 02
AIRPORT,descriptive_only,No or not applicable,Not used,Exclude,Exclude,Exclude,Retained for historical description,Approved in Notebook 02
AIRPORT_LATITUDE,undocumented_empty_field,No or not applicable,Not used,Exclude,Exclude,Exclude,Entirely empty and undocumented; optional external coordinates are reserved for dashboard mapping,Approved in Notebook 02
AIRPORT_LONGITUDE,undocumented_empty_field,No or not applicable,Not used,Exclude,Exclude,Exclude,Entirely empty and undocumented; optional external coordinates are reserved for dashboard mapping,Approved in Notebook 02
RUNWAY,descriptive_only,No or not applicable,Not used,Exclude,Exclude,Exclude,Retained for historical description,Approved in Notebook 02
STATE,extended_feature,Yes,Low/controlled,Extended,Candidate,Candidate,Contextual predictor,Approved in Notebook 02
FAAREGION,extended_feature,Yes,Low/controlled,Extended,Candidate,Candidate,Contextual predictor,Approved in Notebook 02
LOCATION,descriptive_only,No or not applicable,Not used,Exclude,Exclude,Exclude,Retained for historical description,Approved in Notebook 02
ENROUTE_STATE,descriptive_only,No or not applicable,Not used,Exclude,Exclude,Exclude,Retained for historical description,Approved in Notebook 02
OPID,descriptive_only,No or not applicable,Not used,Exclude,Exclude,Exclude,Retained for historical description,Approved in Notebook 02
OPERATOR,descriptive_only,No or not applicable,Not used,Exclude,Exclude,Exclude,Retained for historical description,Approved in Notebook 02
REG,identifier,No or not applicable,Not used,Exclude,Exclude,Exclude,Identifier; not a scenario predictor,Approved in Notebook 02
FLT,identifier,No or not applicable,Not used,Exclude,Exclude,Exclude,Identifier; not a scenario predictor,Approved in Notebook 02
AIRCRAFT,pending_review,No or not applicable,Not used,Exclude by default,Exclude,Exclude,Requires documented approval,Manual review required
AMA,descriptive_only,No or not applicable,Not used,Exclude,Exclude,Exclude,Retained for historical description,Approved in Notebook 02
AMO,descriptive_only,No or not applicable,Not used,Exclude,Exclude,Exclude,Retained for historical description,Approved in Notebook 02
EMA,descriptive_only,No or not applicable,Not used,Exclude,Exclude,Exclude,Retained for historical description,Approved in Notebook 02
EMO,descriptive_only,No or not applicable,Not used,Exclude,Exclude,Exclude,Retained for historical description,Approved in Notebook 02
AC_CLASS,core_feature,Yes,Low/controlled,Include,Candidate,Candidate,Scenario-eligible core predictor,Approved in Notebook 02
AC_MASS,pending_review,No or not applicable,Not used,Exclude by default,Exclude,Exclude,Requires documented approval,Manual review required
TYPE_ENG,core_feature,Yes,Low/controlled,Include,Candidate,Candidate,Scenario-eligible core predictor,Approved in Notebook 02
NUM_ENGS,core_feature,Yes,Low/controlled,Include,Candidate,Candidate,Scenario-eligible core predictor,Approved in Notebook 02
ENG_1_POS,pending_review,No or not applicable,Not used,Exclude by default,Exclude,Exclude,Requires documented approval,Manual review required
ENG_2_POS,pending_review,No or not applicable,Not used,Exclude by default,Exclude,Exclude,Requires documented approval,Manual review required
ENG_3_POS,pending_review,No or not applicable,Not used,Exclude by default,Exclude,Exclude,Requires documented approval,Manual review required
ENG_4_POS,pending_review,No or not applicable,Not used,Exclude by default,Exclude,Exclude,Requires documented approval,Manual review required
PHASE_OF_FLIGHT,extended_feature,Yes,Low/controlled,Extended,Candidate,Candidate,Contextual predictor,Approved in Notebook 02
HEIGHT,extended_feature,Yes,Low/controlled,Extended,Candidate,Candidate,Contextual predictor,Approved in Notebook 02
SPEED,extended_feature,Yes,Low/controlled,Extended,Candidate,Candidate,Contextual predictor,Approved in Notebook 02
DISTANCE,descriptive_only,No or not applicable,Not used,Exclude,Exclude,Exclude,Retained for historical description,Approved in Notebook 02
INCIDENT_LATITUDE,undocumented_empty_field,No or not applicable,Not used,Exclude,Exclude,Exclude,Entirely empty and undocumented; optional external coordinates are reserved for dashboard mapping,Approved in Notebook 02
INCIDENT_LONGITUDE,undocumented_empty_field,No or not applicable,Not used,Exclude,Exclude,Exclude,Entirely empty and undocumented; optional external coordinates are reserved for dashboard mapping,Approved in Notebook 02
SKY,extended_feature,Yes,Low/controlled,Extended,Candidate,Candidate,Contextual predictor,Approved in Notebook 02
PRECIPITATION,extended_feature,Yes,Low/controlled,Extended,Candidate,Candidate,Contextual predictor,Approved in Notebook 02
AOS,excluded_leakage,No or not applicable,High,Exclude,Exclude,Exclude,Known after impact or consequence,Approved in Notebook 02
COST_REPAIRS,excluded_leakage,No or not applicable,High,Exclude,Exclude,Exclude,Known after impact or consequence,Approved in Notebook 02
COST_OTHER,excluded_leakage,No or not applicable,High,Exclude,Exclude,Exclude,Known after impact or consequence,Approved in Notebook 02
COST_REPAIRS_INFL_ADJ,excluded_leakage,No or not applicable,High,Exclude,Exclude,Exclude,Known after impact or consequence,Approved in Notebook 02
