field,initial_role,official_definition_checked,available_before_or_at_scenario,leakage_risk,binary_damage_use,severity_use,component_use,reason_or_evidence,reviewer,review_date
INDEX_NR,identifier,No,Pending,Pending,Exclude,Pending,Pending,,,
INCIDENT_DATE,candidate_pending_review,No,Pending,Pending,Pending,Pending,Pending,,,
INCIDENT_MONTH,candidate_pending_review,No,Pending,Pending,Pending,Pending,Pending,,,
INCIDENT_YEAR,candidate_pending_review,No,Pending,Pending,Pending,Pending,Pending,,,
TIME,candidate_pending_review,No,Pending,Pending,Pending,Pending,Pending,,,
TIME_OF_DAY,candidate_pending_review,No,Pending,Pending,Pending,Pending,Pending,,,
AIRPORT_ID,candidate_pending_review,No,Pending,Pending,Pending,Pending,Pending,,,
AIRPORT,candidate_pending_review,No,Pending,Pending,Pending,Pending,Pending,,,
AIRPORT_LATITUDE,candidate_pending_review,No,Pending,Pending,Pending,Pending,Pending,,,
AIRPORT_LONGITUDE,candidate_pending_review,No,Pending,Pending,Pending,Pending,Pending,,,
RUNWAY,candidate_pending_review,No,Pending,Pending,Pending,Pending,Pending,,,
STATE,candidate_pending_review,No,Pending,Pending,Pending,Pending,Pending,,,
FAAREGION,candidate_pending_review,No,Pending,Pending,Pending,Pending,Pending,,,
LOCATION,candidate_pending_review,No,Pending,Pending,Pending,Pending,Pending,,,
ENROUTE_STATE,candidate_pending_review,No,Pending,Pending,Pending,Pending,Pending,,,
OPID,candidate_pending_review,No,Pending,Pending,Pending,Pending,Pending,,,
OPERATOR,candidate_pending_review,No,Pending,Pending,Pending,Pending,Pending,,,
REG,identifier,No,Pending,Pending,Exclude,Pending,Pending,,,
FLT,identifier,No,Pending,Pending,Exclude,Pending,Pending,,,
AIRCRAFT,candidate_pending_review,No,Pending,Pending,Pending,Pending,Pending,,,
AMA,candidate_pending_review,No,Pending,Pending,Pending,Pending,Pending,,,
AMO,candidate_pending_review,No,Pending,Pending,Pending,Pending,Pending,,,
EMA,candidate_pending_review,No,Pending,Pending,Pending,Pending,Pending,,,
EMO,candidate_pending_review,No,Pending,Pending,Pending,Pending,Pending,,,
AC_CLASS,candidate_pending_review,No,Pending,Pending,Pending,Pending,Pending,,,
AC_MASS,candidate_pending_review,No,Pending,Pending,Pending,Pending,Pending,,,
TYPE_ENG,candidate_pending_review,No,Pending,Pending,Pending,Pending,Pending,,,
NUM_ENGS,candidate_pending_review,No,Pending,Pending,Pending,Pending,Pending,,,
ENG_1_POS,candidate_pending_review,No,Pending,Pending,Pending,Pending,Pending,,,
ENG_2_POS,candidate_pending_review,No,Pending,Pending,Pending,Pending,Pending,,,
ENG_3_POS,candidate_pending_review,No,Pending,Pending,Pending,Pending,Pending,,,
ENG_4_POS,candidate_pending_review,No,Pending,Pending,Pending,Pending,Pending,,,
PHASE_OF_FLIGHT,candidate_pending_review,No,Pending,Pending,Pending,Pending,Pending,,,
HEIGHT,candidate_pending_review,No,Pending,Pending,Pending,Pending,Pending,,,
SPEED,candidate_pending_review,No,Pending,Pending,Pending,Pending,Pending,,,
DISTANCE,candidate_pending_review,No,Pending,Pending,Pending,Pending,Pending,,,
INCIDENT_LATITUDE,candidate_pending_review,No,Pending,Pending,Pending,Pending,Pending,,,
INCIDENT_LONGITUDE,candidate_pending_review,No,Pending,Pending,Pending,Pending,Pending,,,
SKY,candidate_pending_review,No,Pending,Pending,Pending,Pending,Pending,,,
PRECIPITATION,candidate_pending_review,No,Pending,Pending,Pending,Pending,Pending,,,
AOS,excluded_post_event,No,Pending,Pending,Exclude,Pending,Pending,,,
COST_REPAIRS,excluded_post_event,No,Pending,Pending,Exclude,Pending,Pending,,,
COST_OTHER,excluded_post_event,No,Pending,Pending,Exclude,Pending,Pending,,,
COST_REPAIRS_INFL_ADJ,excluded_post_event,No,Pending,Pending,Exclude,Pending,Pending,,,
COST_OTHER_INFL_ADJ,excluded_post_event,No,Pending,Pending,Exclude,Pending,Pending,,,
INGESTED_OTHER,unresolved_default_exclude,No,Pending,Pending,Exclude,Pending,Pending,,,
INDICATED_DAMAGE,primary_target,No,Pending,Pending,Target only,Pending,Pending,,,
DAMAGE_LEVEL,secondary_target,No,Pending,Pending,Exclude,Pending,Pending,,,
STR_RAD,unresolved_default_exclude,No,Pending,Pending,Exclude,Pending,Pending,,,
DAM_RAD,component_target,No,Pending,Pending,Exclude,Pending,Pending,,,
STR_WINDSHLD,unresolved_default_exclude,No,Pending,Pending,Exclude,Pending,Pending,,,
DAM_WINDSHLD,component_target,No,Pending,Pending,Exclude,Pending,Pending,,,
STR_NOSE,unresolved_default_exclude,No,Pending,Pending,Exclude,Pending,Pending,,,
DAM_NOSE,component_target,No,Pending,Pending,Exclude,Pending,Pending,,,
STR_ENG1,unresolved_default_exclude,No,Pending,Pending,Exclude,Pending,Pending,,,
DAM_ENG1,component_target,No,Pending,Pending,Exclude,Pending,Pending,,,
ING_ENG1,unresolved_default_exclude,No,Pending,Pending,Exclude,Pending,Pending,,,
STR_ENG2,unresolved_default_exclude,No,Pending,Pending,Exclude,Pending,Pending,,,
DAM_ENG2,component_target,No,Pending,Pending,Exclude,Pending,Pending,,,
ING_ENG2,unresolved_default_exclude,No,Pending,Pending,Exclude,Pending,Pending,,,
STR_ENG3,unresolved_default_exclude,No,Pending,Pending,Exclude,Pending,Pending,,,
