field,raw_value,canonical_value
AC_CLASS,A,A
AC_CLASS,Not reported,Not reported
AC_CLASS,B,B
AC_CLASS,J,J
AC_CLASS,C,C
AC_CLASS,Y,Y
TYPE_ENG,D,D
TYPE_ENG,C,C
TYPE_ENG,A,A
TYPE_ENG,,Not reported
TYPE_ENG,B,B
TYPE_ENG,F,F
TYPE_ENG,Y,Y
TYPE_ENG,E,E
PHASE_OF_FLIGHT,Take-off Run,Take-off Run
PHASE_OF_FLIGHT,Approach,Approach
PHASE_OF_FLIGHT,Climb,Climb
PHASE_OF_FLIGHT,Landing Roll,Landing Roll
PHASE_OF_FLIGHT,En Route,En Route
PHASE_OF_FLIGHT,Not reported,Not reported
PHASE_OF_FLIGHT,Descent,Descent
PHASE_OF_FLIGHT,Taxi,Taxi
PHASE_OF_FLIGHT,Parked,Parked
PHASE_OF_FLIGHT,Local,Local
PHASE_OF_FLIGHT,Arrival,Arrival
PHASE_OF_FLIGHT,Departure,Departure
TIME_OF_DAY,Not reported,Not reported
TIME_OF_DAY,Day,Day
TIME_OF_DAY,Dawn,Dawn
TIME_OF_DAY,Dusk,Dusk
TIME_OF_DAY,Night,Night
WARNED,Unknown,Unknown
WARNED,No,No
WARNED,Yes,Yes
SKY,Not reported,Not reported
SKY,No Cloud,No Cloud
SKY,Some Cloud,Some Cloud
SKY,Overcast,Overcast
PRECIPITATION,Not reported,Not reported
PRECIPITATION,Fog,Fog
PRECIPITATION,Rain,Rain
PRECIPITATION,Snow,Snow
PRECIPITATION,"Fog, Rain","Fog, Rain"
PRECIPITATION,"Rain, Snow","Rain, Snow"
PRECIPITATION,"Fog, Snow","Fog, Snow"
PRECIPITATION,"Fog, Rain, Snow","Fog, Rain, Snow"
PRECIPITATION,"None, Rain","None, Rain"
PRECIPITATION,"None, Snow","None, Snow"
PRECIPITATION,"Fog, None","Fog, None"
STATE,CA,CA
STATE,CO,CO
STATE,NE,NE
STATE,DC,DC
STATE,NY,NY
STATE,TX,TX
STATE,MO,MO
STATE,GA,GA
STATE,LA,LA
STATE,MI,MI
STATE,IL,IL
STATE,IN,IN
STATE,OH,OH
STATE,NH,NH
STATE,OR,OR
STATE,,Not reported
STATE,FL,FL
STATE,MD,MD
STATE,CT,CT
STATE,RI,RI
STATE,ID,ID
STATE,MN,MN
STATE,WA,WA
STATE,NJ,NJ
STATE,HI,HI
STATE,KY,KY
STATE,OK,OK
STATE,PA,PA
STATE,IA,IA
STATE,NC,NC
STATE,VA,VA
STATE,MA,MA
STATE,UT,UT
STATE,MS,MS
STATE,TN,TN
STATE,ME,ME
STATE,AL,AL
STATE,AZ,AZ
STATE,AR,AR
STATE,AB,AB
STATE,WI,WI
STATE,PR,PR
STATE,WV,WV
STATE,FN,FN
STATE,AK,AK
STATE,NM,NM
STATE,ND,ND
STATE,NV,NV
STATE,SC,SC
STATE,ON,ON
STATE,WY,WY
STATE,SD,SD
STATE,MT,MT
STATE,KS,KS
STATE,VI,VI
STATE,UM,UM
STATE,DE,DE
STATE,QC,QC
STATE,VT,VT
STATE,BC,BC
STATE,GU,GU
STATE,AS,AS
STATE,MH,MH
STATE,MB,MB
STATE,SK,SK
STATE,MP,MP
STATE,NL,NL
STATE,NS,NS
FAAREGION,AWP,AWP
FAAREGION,ANM,ANM
FAAREGION,ACE,ACE
FAAREGION,AEA,AEA
FAAREGION,ASW,ASW
FAAREGION,ASO,ASO
FAAREGION,AGL,AGL
FAAREGION,ANE,ANE
FAAREGION,,Not reported
FAAREGION,FGN,FGN
FAAREGION,AAL,AAL
AIRPORT_ID,KSMF,KSMF
AIRPORT_ID,KDEN,KDEN
AIRPORT_ID,KOMA,KOMA
AIRPORT_ID,KIAD,KIAD
AIRPORT_ID,KLGA,KLGA
AIRPORT_ID,KSAT,KSAT
AIRPORT_ID,KMCI,KMCI
AIRPORT_ID,KDFW,KDFW
AIRPORT_ID,KSJC,KSJC
AIRPORT_ID,KAGS,KAGS
AIRPORT_ID,KAEX,KAEX
AIRPORT_ID,KSYR,KSYR
AIRPORT_ID,KPTK,KPTK
AIRPORT_ID,KLAX,KLAX
AIRPORT_ID,KHOU,KHOU
AIRPORT_ID,KSFO,KSFO
AIRPORT_ID,KMDW,KMDW
AIRPORT_ID,KHUF,KHUF
AIRPORT_ID,KBUF,KBUF
AIRPORT_ID,KDAL,KDAL
AIRPORT_ID,KCLE,KCLE
AIRPORT_ID,KMIE,KMIE
AIRPORT_ID,KMSY,KMSY
AIRPORT_ID,KORD,KORD
AIRPORT_ID,KMHT,KMHT
AIRPORT_ID,KELP,KELP
AIRPORT_ID,KPDX,KPDX
AIRPORT_ID,ZZZZ,ZZZZ
AIRPORT_ID,KBUR,KBUR
AIRPORT_ID,KLGB,KLGB
AIRPORT_ID,KPIA,KPIA
AIRPORT_ID,KRSW,KRSW
AIRPORT_ID,KBWI,KBWI
AIRPORT_ID,KGSH,KGSH
AIRPORT_ID,KBDL,KBDL
AIRPORT_ID,KPNS,KPNS
AIRPORT_ID,KAUS,KAUS
AIRPORT_ID,KTPA,KTPA
