SPECIES,WILDLIFE_TYPE,records
Unknown bird - small,Bird,52259
Unknown bird - medium,Bird,38955
Unknown bird,Bird,31049
Mourning dove,Bird,16374
Barn swallow,Bird,10838
Killdeer,Terrestrial mammal,10663
American kestrel,Other wildlife,9791
Horned lark,Bird,9209
Gulls,Bird,7551
European starling,Bird,6622
Eastern meadowlark,Bird,4784
Rock pigeon,Bird,4526
Sparrows,Bird,4310
Red-tailed hawk,Bird,4308
Unknown bird - large,Bird,3859
Cliff swallow,Bird,3324
Western meadowlark,Bird,2788
American robin,Other wildlife,2551
Ring-billed gull,Bird,2395
American barn owl,Bird,2247
Canada goose,Bird,2225
Herring gull,Bird,2169
Chimney swift,Other wildlife,1850
Perching birds (y),Bird,1794
Savannah sparrow,Bird,1720
Hawks,Bird,1699
Microbats,Bat,1684
Pacific golden-plover,Other wildlife,1586
Swallows,Bird,1582
Brazilian free-tailed bat,Bat,1473
Mallard,Other wildlife,1472
Common nighthawk,Bird,1397
Doves,Bird,1367
Blackbirds,Bird,1346
White-tailed deer,Terrestrial mammal,1333
Tree swallow,Bird,1322
Laughing gull,Bird,1289
Turkey vulture,Bird,1249
Western cattle egret,Terrestrial mammal,996
Short-eared owl,Bird,975
Ducks,Bird,959
Coyote,Terrestrial mammal,932
Bank swallow,Bird,895
Meadowlarks,Bird,876
Striped skunk,Terrestrial mammal,857
Yellow-rumped warbler,Other wildlife,853
Red-winged blackbird,Bird,845
Swainson's thrush,Other wildlife,828
Eastern red bat,Bat,795
American crow,Other wildlife,765
White-throated sparrow,Bird,685
Osprey,Other wildlife,681
Cedar waxwing,Other wildlife,673
Peregrine falcon,Bird,664
Great blue heron,Bird,639
House sparrow,Bird,623
Western kingbird,Bird,620
Black-tailed jackrabbit,Terrestrial mammal,581
Gray catbird,Terrestrial mammal,563
Hermit thrush,Other wildlife,544
Bald eagle,Bird,543
Song sparrow,Bird,537
Brown-headed cowbird,Bird,523
Virginia opossum,Terrestrial mammal,511
Zebra dove,Bird,508
Dark-eyed junco,Other wildlife,504
Burrowing owl,Bird,496
American pipit,Other wildlife,490
American coot,Other wildlife,482
Geese,Bird,482
Red-eyed vireo,Other wildlife,478
Snow bunting,Other wildlife,462
Little brown bat,Bat,462
Upland sandpiper,Bird,451
White-headed gull complex,Bird,446
Scissor-tailed flycatcher,Terrestrial mammal,445
Great horned owl,Bird,437
New World vultures,Bird,424
Purple martin,Other wildlife,423
Owls,Bird,411
Ruby-crowned kinglet,Other wildlife,406
"Sandpipers, curlews, phalaropes, allies",Bird,405
Unknown bird or bat,Bat,398
Egrets,Bird,396
Snowy owl,Bird,385
Common grackle,Other wildlife,384
Black vulture,Bird,383
Common yellowthroat,Other wildlife,366
California gull,Bird,356
Big brown bat,Bat,351
American golden-plover,Other wildlife,340
Least sandpiper,Bird,328
Western sandpiper,Bird,323
Vesper bats,Bat,320
Ovenbird,Bird,319
Red fox,Terrestrial mammal,308
