SPECIES,WILDLIFE_TYPE_OVERRIDE,REASON,REVIEW_STATUS,REVIEWED_BY,REVIEW_DATE
Killdeer,Bird,Known bird species; incorrectly grouped as Terrestrial mammal,Approved,Team review,8/6/2026
Western cattle egret,Bird,Known bird species; incorrectly grouped as Terrestrial mammal,Approved,Team review,8/6/2026
Gray catbird,Bird,Known bird species; incorrectly grouped as Terrestrial mammal,Approved,Team review,8/6/2026
Scissor-tailed flycatcher,Bird,Known bird species; incorrectly grouped as Terrestrial mammal,Approved,Team review,8/6/2026
Fox sparrow,Bird,Known bird species; incorrectly grouped as Terrestrial mammal,Approved,Team review,8/6/2026
Blue-gray gnatcatcher,Bird,Known bird species; incorrectly grouped as Terrestrial mammal,Approved,Team review,8/6/2026
Western flycatcher,Bird,Known bird species; incorrectly grouped as Terrestrial mammal,Approved,Team review,8/6/2026
Alder/willow flycatcher complex,Bird,Known bird species; incorrectly grouped as Terrestrial mammal,Approved,Team review,8/6/2026
Least flycatcher,Bird,Known bird species; incorrectly grouped as Terrestrial mammal,Approved,Team review,8/6/2026
Tyrant (New World) flycatchers,Bird,Known bird species; incorrectly grouped as Terrestrial mammal,Approved,Team review,8/6/2026
American oystercatcher,Bird,Known bird species; incorrectly grouped as Terrestrial mammal,Approved,Team review,8/6/2026
Great crested flycatcher,Bird,Known bird species; incorrectly grouped as Terrestrial mammal,Approved,Team review,8/6/2026
Yellow-bellied flycatcher,Bird,Known bird species; incorrectly grouped as Terrestrial mammal,Approved,Team review,8/6/2026
Hammond's flycatcher,Bird,Known bird species; incorrectly grouped as Terrestrial mammal,Approved,Team review,8/6/2026
Willow flycatcher,Bird,Known bird species; incorrectly grouped as Terrestrial mammal,Approved,Team review,8/6/2026
Alder flycatcher,Bird,Known bird species; incorrectly grouped as Terrestrial mammal,Approved,Team review,8/6/2026
Acadian flycatcher,Bird,Known bird species; incorrectly grouped as Terrestrial mammal,Approved,Team review,8/6/2026
Ash-throated flycatcher,Bird,Known bird species; incorrectly grouped as Terrestrial mammal,Approved,Team review,8/6/2026
Dusky flycatcher,Bird,Known bird species; incorrectly grouped as Terrestrial mammal,Approved,Team review,8/6/2026
Olive-sided flycatcher,Bird,Known bird species; incorrectly grouped as Terrestrial mammal,Approved,Team review,8/6/2026
Gray flycatcher,Bird,Known bird species; incorrectly grouped as Terrestrial mammal,Approved,Team review,8/6/2026
Sulphur-bellied flycatcher,Bird,Known bird species; incorrectly grouped as Terrestrial mammal,Approved,Team review,8/6/2026
Eastern cattle egret,Bird,Known bird species; incorrectly grouped as Terrestrial mammal,Approved,Team review,8/6/2026
Brown-crested flycatcher,Bird,Known bird species; incorrectly grouped as Terrestrial mammal,Approved,Team review,8/6/2026
Mugimaki flycatcher,Bird,Known bird species; incorrectly grouped as Terrestrial mammal,Approved,Team review,8/6/2026
Spotted flycatcher,Bird,Known bird species; incorrectly grouped as Terrestrial mammal,Approved,Team review,8/6/2026
Oriental turtle dove,Bird,Known bird species; incorrectly grouped as Reptile,Approved,Team review,8/6/2026
American kestrel,Bird,Known bird species; incorrectly grouped as Other wildlife,Approved,Team review,8/6/2026
American robin,Bird,Known bird species; incorrectly grouped as Other wildlife,Approved,Team review,8/6/2026
Chimney swift,Bird,Known bird species; incorrectly grouped as Other wildlife,Approved,Team review,8/6/2026
Pacific golden-plover,Bird,Known bird species; incorrectly grouped as Other wildlife,Approved,Team review,8/6/2026
Mallard,Bird,Known bird species; incorrectly grouped as Other wildlife,Approved,Team review,8/6/2026
Yellow-rumped warbler,Bird,Known bird species; incorrectly grouped as Other wildlife,Approved,Team review,8/6/2026
Swainson's thrush,Bird,Known bird species; incorrectly grouped as Other wildlife,Approved,Team review,8/6/2026
American crow,Bird,Known bird species; incorrectly grouped as Other wildlife,Approved,Team review,8/6/2026
Osprey,Bird,Known bird species; incorrectly grouped as Other wildlife,Approved,Team review,8/6/2026
Cedar waxwing,Bird,Known bird species; incorrectly grouped as Other wildlife,Approved,Team review,8/6/2026
Hermit thrush,Bird,Known bird species; incorrectly grouped as Other wildlife,Approved,Team review,8/6/2026
Dark-eyed junco,Bird,Known bird species; incorrectly grouped as Other wildlife,Approved,Team review,8/6/2026
American pipit,Bird,Known bird species; incorrectly grouped as Other wildlife,Approved,Team review,8/6/2026
American coot,Bird,Known bird species; incorrectly grouped as Other wildlife,Approved,Team review,8/6/2026
Red-eyed vireo,Bird,Known bird species; incorrectly grouped as Other wildlife,Approved,Team review,8/6/2026
Snow bunting,Bird,Known bird species; incorrectly grouped as Other wildlife,Approved,Team review,8/6/2026
Purple martin,Bird,Known bird species; incorrectly grouped as Other wildlife,Approved,Team review,8/6/2026
Ruby-crowned kinglet,Bird,Known bird species; incorrectly grouped as Other wildlife,Approved,Team review,8/6/2026
Common grackle,Bird,Known bird species; incorrectly grouped as Other wildlife,Approved,Team review,8/6/2026
Common yellowthroat,Bird,Known bird species; incorrectly grouped as Other wildlife,Approved,Team review,8/6/2026
American golden-plover,Bird,Known bird species; incorrectly grouped as Other wildlife,Approved,Team review,8/6/2026
Black-bellied plover,Bird,Known bird species; incorrectly grouped as Other wildlife,Approved,Team review,8/6/2026
Wilson's snipe,Bird,Known bird species; incorrectly grouped as Other wildlife,Approved,Team review,8/6/2026
Northern pintail,Bird,Known bird species; incorrectly grouped as Other wildlife,Approved,Team review,8/6/2026
House finch,Bird,Known bird species; incorrectly grouped as Other wildlife,Approved,Team review,8/6/2026
Merlin,Bird,Known bird species; incorrectly grouped as Other wildlife,Approved,Team review,8/6/2026
Double-crested cormorant,Bird,Known bird species; incorrectly grouped as Other wildlife,Approved,Team review,8/6/2026
