field,true_null,blank_string,common_unknown_label,missing_like_total,missing_like_pct
INCIDENT_LONGITUDE,348146,0,0,348146,100.0
AIRPORT_LONGITUDE,348146,0,0,348146,100.0
AIRPORT_LATITUDE,348146,0,0,348146,100.0
INCIDENT_LATITUDE,348146,0,0,348146,100.0
NR_FATALITIES,348121,0,0,348121,99.99
NR_INJURIES,347844,0,0,347844,99.91
BIRD_BAND_NUMBER,347352,0,0,347352,99.77
EFFECT_OTHER,345363,0,0,345363,99.2
ENG_4_POS,344505,0,0,344505,98.95
COST_REPAIRS_INFL_ADJ,342721,0,0,342721,98.44
COST_REPAIRS,342721,0,0,342721,98.44
COST_OTHER,342584,0,0,342584,98.4
COST_OTHER_INFL_ADJ,342584,0,0,342584,98.4
ENROUTE_STATE,342102,0,0,342102,98.26
PRECIPITATION,335510,0,0,335510,96.37
ENG_3_POS,334473,0,0,334473,96.07
EFFECT,332211,0,0,332211,95.42
AOS,330712,0,0,330712,94.99
LOCATION,302921,4,1,302926,87.01
OTHER_SPECIFY,299310,1,34,299345,85.98
SPEED,240498,0,0,240498,69.08
NUM_SEEN,236515,0,0,236515,67.94
WARNED,0,0,216877,216877,62.29
SKY,184974,0,0,184974,53.13
FLT,181341,3,11,181355,52.09
HEIGHT,175165,0,0,175165,50.31
TIME_OF_DAY,151729,0,0,151729,43.58
TIME,121363,28297,0,149660,42.99
PHASE_OF_FLIGHT,137169,0,3,137172,39.4
REG,133535,0,35,133570,38.37
AMO,132945,0,0,132945,38.19
EMO,128511,0,0,128511,36.91
DAMAGE_LEVEL,122605,0,0,122605,35.22
COMMENTS,118724,0,0,118724,34.1
DISTANCE,117493,0,0,117493,33.75
ENG_2_POS,115554,0,0,115554,33.19
EMA,115342,0,0,115342,33.13
AMA,100101,0,0,100101,28.75
NUM_ENGS,98756,0,0,98756,28.37
ENG_1_POS,98779,0,0,98779,28.37
TYPE_ENG,98783,0,0,98783,28.37
AC_MASS,98460,0,0,98460,28.28
AC_CLASS,98325,0,0,98325,28.24
AIRCRAFT,0,0,97884,97884,28.12
OPERATOR,1,0,97581,97582,28.03
OPID,3,0,97581,97584,28.03
RUNWAY,85954,0,3,85957,24.69
FAAREGION,46930,0,0,46930,13.48
STATE,46930,0,0,46930,13.48
AIRPORT,0,0,46853,46853,13.46
SIZE,39365,0,0,39365,11.31
REMARKS,24921,2,20,24943,7.16
PERSON,21106,0,0,21106,6.06
NUM_STRUCK,743,0,0,743,0.21
AIRPORT_ID,0,0,0,0,0.0
INCIDENT_MONTH,0,0,0,0,0.0
INCIDENT_DATE,0,0,0,0,0.0
INCIDENT_YEAR,0,0,0,0,0.0
INDEX_NR,0,0,0,0,0.0
DAM_ENG1,0,0,0,0,0.0
ING_ENG1,0,0,0,0,0.0
STR_ENG2,0,0,0,0,0.0
INGESTED_OTHER,0,0,0,0,0.0
INDICATED_DAMAGE,0,0,0,0,0.0
STR_RAD,0,0,0,0,0.0
DAM_RAD,0,0,0,0,0.0
STR_WINDSHLD,0,0,0,0,0.0
DAM_WINDSHLD,0,0,0,0,0.0
STR_NOSE,0,0,0,0,0.0
DAM_NOSE,0,0,0,0,0.0
STR_ENG1,0,0,0,0,0.0
STR_FUSE,0,0,0,0,0.0
DAM_WING_ROT,0,0,0,0,0.0
STR_WING_ROT,0,0,0,0,0.0
DAM_PROP,0,0,0,0,0.0
STR_PROP,0,0,0,0,0.0
ING_ENG4,0,0,0,0,0.0
DAM_ENG4,0,0,0,0,0.0
STR_ENG4,0,0,0,0,0.0
ING_ENG3,0,0,0,0,0.0
DAM_ENG3,0,0,0,0,0.0
STR_ENG3,0,0,0,0,0.0
ING_ENG2,0,0,0,0,0.0
DAM_ENG2,0,0,0,0,0.0
DAM_FUSE,0,0,0,0,0.0
DAM_LG,0,0,0,0,0.0
STR_LG,0,0,0,0,0.0
SPECIES,0,0,0,0,0.0
SPECIES_ID,0,0,0,0,0.0
DAM_OTHER,0,0,0,0,0.0
STR_TAIL,0,0,0,0,0.0
DAM_TAIL,0,0,0,0,0.0
STR_LGHTS,0,0,0,0,0.0
DAM_LGHTS,0,0,0,0,0.0
STR_OTHER,0,0,0,0,0.0
REMAINS_SENT,0,0,0,0,0.0
REMAINS_COLLECTED,0,0,0,0,0.0
REPORTED_NAME,0,0,0,0,0.0
IMAGE,0,0,0,0,0.0
REPORTED_TITLE,0,0,0,0,0.0
SOURCE,0,0,0,0,0.0
LUPDATE,0,0,0,0,0.0
TRANSFER,0,0,0,0,0.0
