,count,mean,std,min,25%,50%,75%,max
INDEX_NR,348146.0,1048104.2755252107,399139.7604158663,608242.0,707541.25,810386.5,1470809.75,1861554.0
INCIDENT_MONTH,348146.0,7.19075330464805,2.7839143332008556,1.0,5.0,8.0,9.0,12.0
INCIDENT_YEAR,348146.0,2013.86600162001,9.056416270869635,1990.0,2008.0,2016.0,2022.0,2026.0
AIRPORT_LATITUDE,0.0,,,,,,,
AIRPORT_LONGITUDE,0.0,,,,,,,
EMA,232804.0,19.240296558478377,11.483799603680007,1.0,10.0,22.0,31.0,2207.0
EMO,219635.0,8.108215903658342,11.46498168119172,1.0,1.0,4.0,10.0,97.0
AC_MASS,249686.0,3.561256938715026,0.8644535112598929,1.0,3.0,4.0,4.0,5.0
NUM_ENGS,249390.0,2.002666506275312,0.4066658194366547,1.0,2.0,2.0,2.0,4.0
ENG_1_POS,249367.0,2.7030641584491932,2.115726885055242,1.0,1.0,1.0,5.0,7.0
ENG_2_POS,232592.0,2.5232596134002887,1.9523278758382838,1.0,1.0,1.0,5.0,7.0
ENG_3_POS,13673.0,2.9007533094419657,1.9381212030234805,1.0,1.0,1.0,5.0,6.0
ENG_4_POS,3641.0,2.156001098599286,1.4656685996345957,1.0,1.0,1.0,4.0,5.0
HEIGHT,172981.0,883.5876830403339,1859.8388082356707,0.0,0.0,50.0,1000.0,40000.0
SPEED,107648.0,143.07126932223542,46.50942845770909,0.0,120.0,140.0,160.0,541.0
DISTANCE,230653.0,0.8882866513767437,3.7066162145030526,0.0,0.0,0.0,0.0,99.0
INCIDENT_LATITUDE,0.0,,,,,,,
INCIDENT_LONGITUDE,0.0,,,,,,,
AOS,17434.0,72.5875966502237,353.10142410576344,0.01,1.0,2.0,22.0,10080.0
INGESTED_OTHER,348146.0,0.03236860397649262,0.17697730763615316,0.0,0.0,0.0,0.0,1.0
INDICATED_DAMAGE,348146.0,0.06332400774387757,0.2435451665685339,0.0,0.0,0.0,0.0,1.0
STR_RAD,348146.0,0.08788266991434628,0.2831245953462365,0.0,0.0,0.0,0.0,1.0
DAM_RAD,348146.0,0.006330677359498601,0.07931341596839886,0.0,0.0,0.0,0.0,1.0
STR_WINDSHLD,348146.0,0.11761444911043069,0.3221514994048176,0.0,0.0,0.0,0.0,1.0
DAM_WINDSHLD,348146.0,0.00444353805587311,0.06651169620580699,0.0,0.0,0.0,0.0,1.0
STR_NOSE,348146.0,0.11532805202415079,0.3194178853802752,0.0,0.0,0.0,0.0,1.0
DAM_NOSE,348146.0,0.00536556502157141,0.07305334395320998,0.0,0.0,0.0,0.0,1.0
STR_ENG1,348146.0,0.046003688107862796,0.20949337662294545,0.0,0.0,0.0,0.0,1.0
DAM_ENG1,348146.0,0.00922026965698299,0.09557867191083326,0.0,0.0,0.0,0.0,1.0
ING_ENG1,348146.0,0.006017590321301982,0.07733948609047521,0.0,0.0,0.0,0.0,1.0
STR_ENG2,348146.0,0.03967588310651279,0.19519686690184146,0.0,0.0,0.0,0.0,1.0
DAM_ENG2,348146.0,0.007858771894549988,0.08830081536845258,0.0,0.0,0.0,0.0,1.0
ING_ENG2,348146.0,0.005813652892751891,0.076025462409997,0.0,0.0,0.0,0.0,1.0
STR_ENG3,348146.0,0.0014649026557823441,0.038246057542767296,0.0,0.0,0.0,0.0,1.0
DAM_ENG3,348146.0,0.0004854285271121886,0.022027126002023,0.0,0.0,0.0,0.0,1.0
ING_ENG3,348146.0,9.191546075497061e-05,0.009586828270792108,0.0,0.0,0.0,0.0,1.0
STR_ENG4,348146.0,0.0007037277464052437,0.0265185695995396,0.0,0.0,0.0,0.0,1.0
DAM_ENG4,348146.0,0.00019532035410431257,0.013974360986665055,0.0,0.0,0.0,0.0,1.0
ING_ENG4,348146.0,3.159593963452115e-05,0.005620945835299218,0.0,0.0,0.0,0.0,1.0
STR_PROP,348146.0,0.015461903913875212,0.12338102433838267,0.0,0.0,0.0,0.0,1.0
DAM_PROP,348146.0,0.002085332015878396,0.04561786254975962,0.0,0.0,0.0,0.0,1.0
STR_WING_ROT,348146.0,0.12414331918218219,0.3297454591075577,0.0,0.0,0.0,0.0,1.0
DAM_WING_ROT,348146.0,0.019224693088531822,0.13731408676079637,0.0,0.0,0.0,0.0,1.0
STR_FUSE,348146.0,0.08669925835712604,0.2813942508271874,0.0,0.0,0.0,0.0,1.0
DAM_FUSE,348146.0,0.0036076818346325967,0.05995562351949843,0.0,0.0,0.0,0.0,1.0
STR_LG,348146.0,0.04182153464351163,0.20018144016481182,0.0,0.0,0.0,0.0,1.0
DAM_LG,348146.0,0.00391502415653203,0.06244764161874882,0.0,0.0,0.0,0.0,1.0
