INCIDENT_YEAR,record_count,pct_of_records
1990,2120,0.61
1991,2515,0.72
1992,2652,0.76
1993,2625,0.75
1994,2707,0.78
1995,2827,0.81
1996,3031,0.87
1997,3560,1.02
1998,3808,1.09
1999,5118,1.47
2000,6028,1.73
2001,5828,1.67
2002,6223,1.79
2003,5992,1.72
2004,6612,1.9
2005,7273,2.09
2006,7294,2.1
2007,7750,2.23
2008,7639,2.19
2009,9509,2.73
2010,9901,2.84
2011,10112,2.9
2012,10937,3.14
2013,11406,3.28
2014,13690,3.93
2015,13777,3.96
2016,13379,3.84
2017,14758,4.24
2018,16207,4.66
2019,17348,4.98
2020,11625,3.34
2021,15641,4.49
2022,17223,4.95
2023,19625,5.64
2024,22371,6.43
2025,24459,7.03
2026,4576,1.31
