INCIDENT_YEAR,SPECIES,SIZE,NUM_STRUCK,PHASE_OF_FLIGHT,HEIGHT,SPEED,TIME,SKY,WARNED,DAMAGE_LEVEL
1990,100.0,99.1,99.8,80.7,76.3,59.0,13.4,71.5,100.0,80.3
1991,100.0,99.3,99.6,86.8,79.5,62.2,5.2,73.2,100.0,85.8
1992,100.0,99.4,99.7,85.8,78.4,58.7,4.7,72.2,100.0,83.6
1993,100.0,99.7,99.6,85.2,77.1,57.0,5.4,69.9,100.0,80.8
1994,100.0,99.5,99.7,86.1,77.9,56.3,6.5,69.7,100.0,85.0
1995,100.0,99.8,99.5,85.3,77.0,55.6,5.1,67.9,100.0,86.4
1996,100.0,99.7,99.5,81.9,72.3,50.3,6.8,62.3,100.0,79.8
1997,100.0,99.7,99.8,79.7,68.8,48.8,7.7,62.9,100.0,80.6
1998,100.0,99.9,99.5,76.9,68.0,47.2,30.9,63.4,100.0,75.6
1999,100.0,99.8,99.9,67.8,57.2,36.6,28.8,48.5,100.0,83.3
2000,100.0,99.8,99.8,68.9,58.7,36.9,29.8,48.4,100.0,81.4
2001,100.0,99.5,99.8,69.2,59.0,36.2,33.3,48.9,100.0,79.6
2002,100.0,99.4,99.7,69.3,58.9,39.1,38.2,49.9,100.0,79.1
2003,100.0,99.6,99.7,69.4,60.5,41.3,42.2,51.7,100.0,79.0
2004,100.0,99.8,99.8,70.2,61.2,39.2,45.0,50.3,100.0,77.1
2005,100.0,99.5,99.9,64.5,56.1,36.1,44.8,45.6,100.0,75.1
2006,100.0,99.7,99.8,66.2,57.7,36.2,50.6,52.2,100.0,70.7
2007,100.0,99.7,99.8,65.4,57.6,39.3,50.4,55.3,100.0,66.5
2008,100.0,99.7,99.8,63.2,56.9,39.7,52.4,54.1,100.0,63.1
2009,100.0,99.5,99.8,67.0,60.5,41.0,57.8,56.8,100.0,66.8
2010,100.0,90.4,99.8,62.8,56.2,36.6,56.5,55.2,100.0,62.7
2011,100.0,92.1,99.8,62.1,56.4,37.5,57.4,56.9,100.0,62.3
2012,100.0,92.7,99.8,60.2,53.9,38.5,56.8,53.6,100.0,63.4
2013,100.0,93.0,99.8,56.2,50.2,35.4,52.8,49.2,100.0,61.8
2014,100.0,87.1,99.8,59.2,48.8,30.4,55.9,43.9,100.0,63.6
2015,100.0,88.7,99.9,57.9,47.7,29.7,52.0,45.1,100.0,64.4
2016,100.0,85.3,99.8,57.8,45.6,25.1,64.1,46.0,100.0,61.8
2017,100.0,87.6,99.9,54.0,41.1,22.6,59.2,42.1,100.0,55.0
2018,100.0,86.9,99.8,55.9,42.6,25.4,56.8,39.9,100.0,57.8
2019,100.0,84.8,99.8,54.7,42.2,23.7,83.7,39.3,100.0,56.9
2020,100.0,85.5,99.8,52.3,41.2,22.8,92.8,39.1,100.0,50.7
2021,100.0,83.2,99.7,54.2,40.9,21.6,94.1,38.9,100.0,55.5
2022,100.0,82.1,99.8,54.5,41.3,22.9,94.5,41.1,100.0,58.2
2023,100.0,80.1,99.8,55.3,41.1,21.9,92.6,40.6,100.0,60.1
2024,100.0,79.6,99.8,53.7,39.0,21.1,99.6,39.8,100.0,60.8
2025,100.0,74.0,99.8,56.2,41.4,23.1,99.7,41.7,100.0,66.0
2026,100.0,67.0,99.6,58.0,42.2,26.3,99.5,36.3,100.0,67.7
