field,dtype,non_null_count,non_null_pct,unique_non_null
INDEX_NR,int64,348146,100.0,348139
INCIDENT_DATE,object,348146,100.0,13223
INCIDENT_MONTH,int64,348146,100.0,12
INCIDENT_YEAR,int64,348146,100.0,37
TIME,object,226783,65.14,1441
TIME_OF_DAY,object,196417,56.42,4
AIRPORT_ID,object,348146,100.0,2779
AIRPORT,object,348146,100.0,2779
AIRPORT_LATITUDE,float64,0,0.0,0
AIRPORT_LONGITUDE,float64,0,0.0,0
RUNWAY,object,262192,75.31,1560
STATE,object,301216,86.52,67
FAAREGION,object,301216,86.52,10
LOCATION,object,45225,12.99,10213
ENROUTE_STATE,object,6044,1.74,58
OPID,object,348143,100.0,631
OPERATOR,object,348145,100.0,625
REG,object,214611,61.64,47260
FLT,object,166805,47.91,11796
AIRCRAFT,object,348146,100.0,636
AMA,object,248045,71.25,99
AMO,object,215201,61.81,63
EMA,float64,232804,66.87,38
EMO,float64,219635,63.09,49
AC_CLASS,object,249821,71.76,5
AC_MASS,float64,249686,71.72,5
TYPE_ENG,object,249363,71.63,7
NUM_ENGS,float64,249390,71.63,4
ENG_1_POS,float64,249367,71.63,7
ENG_2_POS,float64,232592,66.81,7
ENG_3_POS,float64,13673,3.93,5
ENG_4_POS,float64,3641,1.05,4
PHASE_OF_FLIGHT,object,210977,60.6,12
HEIGHT,float64,172981,49.69,761
SPEED,float64,107648,30.92,292
DISTANCE,float64,230653,66.25,257
INCIDENT_LATITUDE,float64,0,0.0,0
INCIDENT_LONGITUDE,float64,0,0.0,0
SKY,object,163172,46.87,3
PRECIPITATION,object,12636,3.63,10
AOS,float64,17434,5.01,511
COST_REPAIRS,object,5425,1.56,1367
COST_OTHER,object,5562,1.6,691
COST_REPAIRS_INFL_ADJ,object,5425,1.56,3144
COST_OTHER_INFL_ADJ,object,5562,1.6,1805
INGESTED_OTHER,int64,348146,100.0,2
INDICATED_DAMAGE,int64,348146,100.0,2
DAMAGE_LEVEL,object,225541,64.78,5
STR_RAD,int64,348146,100.0,2
DAM_RAD,int64,348146,100.0,2
STR_WINDSHLD,int64,348146,100.0,2
DAM_WINDSHLD,int64,348146,100.0,2
STR_NOSE,int64,348146,100.0,2
DAM_NOSE,int64,348146,100.0,2
STR_ENG1,int64,348146,100.0,2
DAM_ENG1,int64,348146,100.0,2
ING_ENG1,int64,348146,100.0,2
STR_ENG2,int64,348146,100.0,2
DAM_ENG2,int64,348146,100.0,2
ING_ENG2,int64,348146,100.0,2
STR_ENG3,int64,348146,100.0,2
DAM_ENG3,int64,348146,100.0,2
ING_ENG3,int64,348146,100.0,2
STR_ENG4,int64,348146,100.0,2
DAM_ENG4,int64,348146,100.0,2
ING_ENG4,int64,348146,100.0,2
STR_PROP,int64,348146,100.0,2
DAM_PROP,int64,348146,100.0,2
STR_WING_ROT,int64,348146,100.0,2
DAM_WING_ROT,int64,348146,100.0,2
STR_FUSE,int64,348146,100.0,2
DAM_FUSE,int64,348146,100.0,2
STR_LG,int64,348146,100.0,2
DAM_LG,int64,348146,100.0,2
STR_TAIL,int64,348146,100.0,2
DAM_TAIL,int64,348146,100.0,2
STR_LGHTS,int64,348146,100.0,2
DAM_LGHTS,int64,348146,100.0,2
STR_OTHER,int64,348146,100.0,2
DAM_OTHER,int64,348146,100.0,2
OTHER_SPECIFY,object,48836,14.03,3332
EFFECT,object,15935,4.58,12
EFFECT_OTHER,object,2783,0.8,830
BIRD_BAND_NUMBER,object,794,0.23,683
SPECIES_ID,object,348146,100.0,972
SPECIES,object,348146,100.0,973
REMARKS,object,323225,92.84,294362
REMAINS_COLLECTED,int64,348146,100.0,2
REMAINS_SENT,int64,348146,100.0,2
WARNED,object,348146,100.0,3
NUM_SEEN,object,111631,32.06,4
NUM_STRUCK,object,347403,99.79,4
SIZE,object,308781,88.69,3
NR_INJURIES,float64,302,0.09,6
NR_FATALITIES,float64,25,0.01,6
COMMENTS,object,229422,65.9,212199
IMAGE,int64,348146,100.0,2
REPORTED_NAME,object,348146,100.0,1
REPORTED_TITLE,object,348146,100.0,1
SOURCE,object,348146,100.0,16
PERSON,object,327040,93.94,6
LUPDATE,object,348146,100.0,4834
TRANSFER,int64,348146,100.0,1
