SPECIES,reported_strikes,share_pct
Unknown bird - small,55183,15.851
Unknown bird - medium,39473,11.338
Unknown bird,38885,11.169
Mourning dove,18160,5.216
Barn swallow,11761,3.378
Killdeer,11509,3.306
American kestrel,10582,3.04
Horned lark,10061,2.89
Gulls,7696,2.211
European starling,7024,2.018
Eastern meadowlark,5356,1.538
Rock pigeon,4811,1.382
Red-tailed hawk,4581,1.316
Sparrows,4416,1.268
Unknown bird - large,4023,1.156
Cliff swallow,3699,1.062
Western meadowlark,3044,0.874
American robin,2852,0.819
Ring-billed gull,2545,0.731
American barn owl,2399,0.689
Canada goose,2325,0.668
Herring gull,2270,0.652
Chimney swift,2079,0.597
Perching birds (y),1937,0.556
Savannah sparrow,1907,0.548
Microbats,1864,0.535
Brazilian free-tailed bat,1848,0.531
Hawks,1758,0.505
Pacific golden-plover,1678,0.482
Swallows,1622,0.466
Mallard,1573,0.452
Common nighthawk,1541,0.443
Doves,1424,0.409
Tree swallow,1411,0.405
White-tailed deer,1390,0.399
Turkey vulture,1365,0.392
Laughing gull,1356,0.389
Blackbirds,1351,0.388
Western cattle egret,1181,0.339
Short-eared owl,1076,0.309
Yellow-rumped warbler,1024,0.294
Coyote,1003,0.288
Ducks,988,0.284
Swainson's thrush,988,0.284
Bank swallow,964,0.277
Meadowlarks,951,0.273
Red-winged blackbird,939,0.27
Striped skunk,930,0.267
Eastern red bat,928,0.267
White-throated sparrow,840,0.241
