Component_Field,Damage_Records,Percentage_of_All_Reported_Strikes
DAM_WING_ROT,6296,1.973005919644508
DAM_ENG1,3085,0.9667603656453791
DAM_ENG2,2602,0.8154004769560054
DAM_OTHER,2455,0.7693344238766308
DAM_RAD,2105,0.6596533451162149
DAM_NOSE,1763,0.5524792624417515
DAM_WINDSHLD,1468,0.4600337817722582
DAM_LG,1308,0.409893860053211
DAM_FUSE,1209,0.3788697834895505
DAM_TAIL,1052,0.32966998530273545
DAM_LGHTS,1031,0.32308912057711053
DAM_PROP,701,0.2196755320315756
DAM_ENG3,167,0.052333543294255526
DAM_ENG4,68,0.021309466730595066
