Variable,Available_Records,Unavailable_Records,Unavailable_Percentage
PRECIPITATION,11969,307138,96.24922048090453
SPEED,100786,218321,68.41623656015067
WARNED,121015,198092,62.07698358230939
SKY,151325,167782,52.57860216165737
HEIGHT,160917,158190,49.572713854600494
TIME_OF_DAY,180459,138648,43.448749165640365
PHASE_OF_FLIGHT,194586,124521,39.02170745235924
DISTANCE,212053,107054,33.547994873193005
TYPE_ENG,227849,91258,28.597931101480068
NUM_ENGS,227893,91214,28.58414262300733
AC_MASS_GROUP,228162,90945,28.499844879617182
AC_CLASS,228282,90825,28.462239938327897
FAAREGION,278004,41103,12.880632515112486
STATE,278004,41103,12.880632515112486
AIRPORT_ID,278081,41026,12.856502677785194
SIZE,287615,31492,9.868790092351468
NUM_STRUCK,318426,681,0.21340804181669473
INCIDENT_YEAR,319107,0,0.0
SEASON,319107,0,0.0
INCIDENT_MONTH,319107,0,0.0
WILDLIFE_TYPE,319107,0,0.0
SPECIES,319107,0,0.0
