PHASE_OF_FLIGHT,Reported_Strikes,Damage_Records,No_Damage_Records,Damage_Rate_Pct,Damage_Rate_CI95_Lower,Damage_Rate_CI95_Upper
Not reported,124521,2500,122021,2.0076934814208047,1.9312536462941245,2.087094448516863
Approach,82366,7172,75194,8.70747638588738,8.516846035476584,8.901958373150567
Landing Roll,35183,2005,33178,5.698774976551175,5.461340390856866,5.9458829275327005
Take-off Run,32638,2473,30165,7.57705741773393,7.294922777461962,7.869177522565229
Climb,29077,4287,24790,14.7436117893868,14.340751593618348,15.155786773414334
En Route,5871,1774,4097,30.21631749276103,29.0549460853014,31.403562276864488
Departure,3546,116,3430,3.2712915961646925,2.7345007070749796,3.9092210860326326
Descent,2707,402,2305,14.85038788326561,13.560631478704554,16.23976703960061
Local,1404,91,1313,6.481481481481481,5.30868887557054,7.891773449168266
Arrival,927,43,884,4.638619201725998,3.4617836011987575,6.189869268634304
Taxi,753,41,712,5.444887118193891,4.038743494175842,7.3033391820406885
Parked,114,4,110,3.508771929824561,1.3727719127262943,8.675971485190908
