AIRPORT_ID,AIRPORT,Reported_Strikes,Damage_Records,No_Damage_Records,Damage_Rate_Pct,Damage_Rate_CI95_Lower,Damage_Rate_CI95_Upper
ZZZZ,UNKNOWN,41026,4269,36757,10.405596451031053,10.113833055695217,10.704774247921572
KDEN,DENVER INTL AIRPORT,10690,236,10454,2.2076707202993453,1.9458212254879685,2.5038575503786946
KDFW,DALLAS/FORT WORTH INTL ARPT,8414,265,8149,3.1495127169004036,2.7971788652661034,3.544608321606123
KORD,CHICAGO O'HARE INTL ARPT,6864,265,6599,3.8607226107226102,3.430151525599955,4.342910683639117
KJFK,JOHN F KENNEDY INTL,6372,318,6054,4.990583804143126,4.482517249468484,5.552888899893822
KMEM,MEMPHIS INTL,5203,195,5008,3.747837785892754,3.264936368599475,4.29898875637456
KSLC,SALT LAKE CITY INTL,4125,363,3762,8.799999999999999,7.973350644283707,9.703316825836723
KATL,HARTSFIELD - JACKSON ATLANTA INTL ARPT,3987,141,3846,3.5364936042136947,3.006427763738933,4.156011356871616
KDTW,DETROIT METRO WAYNE COUNTY ARPT,3976,113,3863,2.8420523138832996,2.3692975705030124,3.4058468473049732
KSMF,SACRAMENTO INTL,3951,459,3492,11.617312072892938,10.655216329784704,12.653975117984029
KMCO,ORLANDO INTL,3948,303,3645,7.674772036474165,6.884952437580516,8.546880660183323
KLGA,LA GUARDIA ARPT,3517,215,3302,6.113164628945124,5.368252920138756,6.953846432470574
KCLT,CHARLOTTE/DOUGLAS INTL ARPT,3488,119,3369,3.411697247706422,2.8586637856100263,4.067240298928057
KSDF,MUHAMMAD ALI INTERNATIONAL,3363,131,3232,3.8953315492120133,3.292258115612391,4.603616760116839
KMCI,KANSAS CITY INTL,3273,139,3134,4.246868316529178,3.6079654627488327,4.993048391567469
KEWR,NEWARK LIBERTY INTL ARPT,3164,195,2969,6.163084702907712,5.377106901110387,7.055383410273869
KAUS,AUSTIN-BERGSTROM INTL,3139,106,3033,3.376871615164065,2.799766439227396,4.067954797503083
KPHL,PHILADELPHIA INTL,3065,193,2872,6.2969004893964104,5.490441419860166,7.212775324855497
KCVG,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,3036,79,2957,2.6021080368906455,2.0929091461489824,3.231105105119899
KIAH,GEORGE BUSH INTERCONTINENTAL/ HOUSTON ARPT,2999,85,2914,2.834278092697566,2.297994987762323,3.491241447486209
KLAX,LOS ANGELES INTL,2922,166,2756,5.68104038329911,4.898442301267035,6.580019143809143
KBNA,NASHVILLE INTL,2716,90,2626,3.313696612665685,2.7037111659979405,4.055564815368034
KBOS,GENERAL EDWARD LAWRENCE LOGAN INTL ARPT,2705,181,2524,6.691312384473198,5.809747948077757,7.695715051309139
KBWI,BALTIMORE/WASH INTL THURGOOD MARSHAL ARPT,2657,138,2519,5.193827625141137,4.41288143797365,6.104151969802298
KPDX,PORTLAND INTL (OR),2652,165,2487,6.221719457013575,5.364189831104334,7.205897180108986
KIAD,WASHINGTON DULLES INTL ARPT,2580,182,2398,7.054263565891474,6.128718780916063,8.107509941463823
KSFO,SAN FRANCISCO INTL ARPT,2505,179,2326,7.145708582834331,6.201234906467147,8.221421350508185
KCLE,CLEVELAND-HOPKINS INTL ARPT,2493,75,2418,3.0084235860409145,2.4068001744496716,3.754647952656188
KMSP,MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN ARPT,2361,130,2231,5.506141465480729,4.656234029264504,6.50060624282814
KMSY,LOUIE ARMSTRONG NEW ORLEANS INTL ARPT,2322,118,2204,5.0818260120585705,4.260352364420605,6.051682642606529
KIND,INDIANAPOLIS INTL ARPT,2303,67,2236,2.909248805905341,2.2973546746326963,3.677984074243689
KFLL,FORT LAUDERDALE/HOLLYWOOD INTL,2300,106,2194,4.608695652173913,3.8248496060168313,5.543919496858992
KPIT,PITTSBURGH INTL ARPT,2276,86,2190,3.7785588752196833,3.069864544179441,4.643022175669867
KDAL,DALLAS LOVE FIELD ARPT,2263,86,2177,3.8002651347768452,3.087557972322845,4.66956100767117
KTEB,TETERBORO AIRPORT,2244,110,2134,4.901960784313726,4.083139313427708,5.874928906325856
KSEA,SEATTLE-TACOMA INTL,2241,112,2129,4.99776885319054,4.170096025920141,5.979466419822134
KMDW,CHICAGO MIDWAY INTL ARPT,2124,91,2033,4.28436911487759,3.5025132312230305,5.231294774034505
KDCA,RONALD REAGAN WASHINGTON NATIONAL ARPT,2009,150,1859,7.466401194624191,6.396409316881353,8.698747698951388
KCMH,JOHN GLENN COLUMBUS INTL ARPT,2003,66,1937,3.2950574138791815,2.598354048652515,4.170570813180128
KOMA,EPPLEY AIRFIELD,1993,87,1906,4.365278474661315,3.5525964885620964,5.353548094964209
KRSW,SOUTHWEST FLORIDA INTL ARPT,1954,95,1859,4.861821903787104,3.993608277989178,5.907172255022277
KHOU,WILLIAM P HOBBY ARPT,1923,81,1842,4.212168486739469,3.401929210247307,5.2049848194269535
KSJC,NORMAN Y. MINETA SAN JOSE INTL ARPT,1910,111,1799,5.81151832460733,4.8482641855606134,6.952169037335159
KTPA,TAMPA INTL,1885,103,1782,5.464190981432361,4.525785719298803,6.58375358775585
KSAT,SAN ANTONIO INTL,1880,82,1798,4.361702127659575,3.5277739110387016,5.381764980129219
KPHX,PHOENIX SKY HARBOR INTL ARPT,1869,66,1803,3.5313001605136436,2.7852780212333776,4.467956849243656
KSTL,LAMBERT-ST LOUIS INTL,1848,122,1726,6.6017316017316015,5.5572089607214,7.826311530448041
KOAK,METRO OAKLAND INTL,1813,133,1680,7.335907335907336,6.223836414845508,8.62839946526644
PHNL,DANIEL K. INOUYE INTERNATIONAL AIRPORT,1715,41,1674,2.39067055393586,1.7671031128128234,3.22705108964539
KMIA,MIAMI INTL,1662,137,1525,8.243080625752105,7.0151727342175425,9.663579915494172
PHLI,LIHUE ARPT,1479,21,1458,1.4198782961460445,0.9305398212340877,2.160929962187149
KMKE,GENERAL MITCHELL INTL,1392,52,1340,3.7356321839080464,2.8600056100101576,4.86591400723008
KJAX,JACKSONVILLE INTL,1337,45,1292,3.3657442034405385,2.5248270822800913,4.473881788327741
