AIRPORT_ID,AIRPORT,SEASON,Reported_Strikes,Damage_Records,Damage_Rate_Pct,Damage_Rate_CI95_Lower,Damage_Rate_CI95_Upper
KATL,HARTSFIELD - JACKSON ATLANTA INTL ARPT,Autumn,1458,51,3.4979423868312756,2.6704038241212675,4.56988814732078
KATL,HARTSFIELD - JACKSON ATLANTA INTL ARPT,Spring,800,39,4.875,3.5864215936989554,6.594887758790392
KATL,HARTSFIELD - JACKSON ATLANTA INTL ARPT,Summer,1311,33,2.517162471395881,1.7978854944602183,3.5139026327179903
KATL,HARTSFIELD - JACKSON ATLANTA INTL ARPT,Winter,418,18,4.30622009569378,2.7409663337618193,6.703716220068811
KCLT,CHARLOTTE/DOUGLAS INTL ARPT,Autumn,1418,38,2.6798307475317347,1.9585699636510356,3.656795348490626
KCLT,CHARLOTTE/DOUGLAS INTL ARPT,Spring,733,24,3.2742155525238745,2.2099646065753826,4.825685932156416
KCLT,CHARLOTTE/DOUGLAS INTL ARPT,Summer,1068,37,3.464419475655431,2.5237390632426555,4.7386773236563045
KCLT,CHARLOTTE/DOUGLAS INTL ARPT,Winter,269,20,7.434944237918216,4.864205871967575,11.204311538867136
KDEN,DENVER INTL AIRPORT,Autumn,2529,95,3.756425464610518,3.0827491293246396,4.570378488288716
KDEN,DENVER INTL AIRPORT,Spring,1935,49,2.5322997416020674,1.9207405130188846,3.3319629569293565
KDEN,DENVER INTL AIRPORT,Summer,5202,59,1.1341791618608228,0.8803311055178866,1.4601473293234655
KDEN,DENVER INTL AIRPORT,Winter,1024,33,3.22265625,2.303765037875057,4.491211931338877
KDFW,DALLAS/FORT WORTH INTL ARPT,Autumn,2678,87,3.2486930545182973,2.6413286632859543,3.9899951255612307
KDFW,DALLAS/FORT WORTH INTL ARPT,Spring,2012,55,2.7335984095427435,2.1061671312404378,3.541181350902206
KDFW,DALLAS/FORT WORTH INTL ARPT,Summer,2905,84,2.891566265060241,2.341647591148019,3.5659136868535066
KDFW,DALLAS/FORT WORTH INTL ARPT,Winter,819,39,4.761904761904762,3.502757296233826,6.443458354506243
KDTW,DETROIT METRO WAYNE COUNTY ARPT,Autumn,999,38,3.8038038038038042,2.7836806203243407,5.177855877563262
KDTW,DETROIT METRO WAYNE COUNTY ARPT,Spring,702,31,4.415954415954416,3.1281989909645778,6.199899551257927
KDTW,DETROIT METRO WAYNE COUNTY ARPT,Summer,2078,29,1.395572666025024,0.9734281733204379,1.9970956167700282
KDTW,DETROIT METRO WAYNE COUNTY ARPT,Winter,197,15,7.614213197969544,4.668294470914588,12.18160116823587
KEWR,NEWARK LIBERTY INTL ARPT,Autumn,1568,92,5.86734693877551,4.8083813452627755,7.142034014656441
KEWR,NEWARK LIBERTY INTL ARPT,Spring,710,53,7.464788732394366,5.752108610594118,9.63528265379843
KEWR,NEWARK LIBERTY INTL ARPT,Summer,598,17,2.842809364548495,1.782344874028078,4.505289613185832
KEWR,NEWARK LIBERTY INTL ARPT,Winter,288,33,11.458333333333332,8.276212706624184,15.655125389109944
KJFK,JOHN F KENNEDY INTL,Autumn,2268,120,5.291005291005291,4.442990345660181,6.290222744548219
KJFK,JOHN F KENNEDY INTL,Spring,1233,90,7.2992700729927,5.9761361014696925,8.887658906718906
KJFK,JOHN F KENNEDY INTL,Summer,2142,53,2.4743230625583568,1.8966503029522235,3.2221618218569876
KJFK,JOHN F KENNEDY INTL,Winter,729,55,7.544581618655692,5.842021536083844,9.692249444166185
KLGA,LA GUARDIA ARPT,Autumn,1529,94,6.147809025506867,5.050186307752192,7.465236029428636
KLGA,LA GUARDIA ARPT,Spring,678,47,6.932153392330384,5.252874737914652,9.096733734199695
KLGA,LA GUARDIA ARPT,Summer,932,39,4.184549356223176,3.075995846475865,5.669244801086713
KLGA,LA GUARDIA ARPT,Winter,378,35,9.25925925925926,6.732997204825278,12.605283380632146
KMCI,KANSAS CITY INTL,Autumn,1062,54,5.084745762711865,3.9178335222445697,6.575433019425413
KMCI,KANSAS CITY INTL,Spring,727,41,5.639614855570839,4.184122864106968,7.561459215511928
KMCI,KANSAS CITY INTL,Summer,1315,19,1.4448669201520912,0.9269135559647663,2.245688824791194
KMCI,KANSAS CITY INTL,Winter,169,25,14.792899408284024,10.224951246025135,20.925882812442268
KMCO,ORLANDO INTL,Autumn,1126,82,7.282415630550622,5.905528574532324,8.94979273776491
KMCO,ORLANDO INTL,Spring,815,71,8.71165644171779,6.964086167283097,10.84663571103867
KMCO,ORLANDO INTL,Summer,1139,75,6.584723441615452,5.285334776209467,8.175988297784338
KMCO,ORLANDO INTL,Winter,868,75,8.640552995391705,6.948886999904212,10.696703667024275
KMEM,MEMPHIS INTL,Autumn,1910,66,3.4554973821989527,2.7252907405656295,4.372558945636196
KMEM,MEMPHIS INTL,Spring,1639,41,2.501525320317267,1.8492752576635776,3.375915046745563
KMEM,MEMPHIS INTL,Summer,1293,30,2.320185614849188,1.6299788969370121,3.292873670408144
KMEM,MEMPHIS INTL,Winter,361,58,16.06648199445983,12.638699831083361,20.208870182862416
KORD,CHICAGO O'HARE INTL ARPT,Autumn,2240,98,4.375,3.6031955196837426,5.303030303030303
KORD,CHICAGO O'HARE INTL ARPT,Spring,1481,76,5.1316677920324105,4.119471998469081,6.376031360273024
KORD,CHICAGO O'HARE INTL ARPT,Summer,2745,53,1.9307832422586522,1.47917785975475,2.5167453684152545
KORD,CHICAGO O'HARE INTL ARPT,Winter,398,38,9.547738693467336,7.035203622814843,12.833719853500202
KSDF,MUHAMMAD ALI INTERNATIONAL,Autumn,1332,60,4.504504504504505,3.515443814436435,5.755236182353604
KSDF,MUHAMMAD ALI INTERNATIONAL,Spring,879,28,3.1854379977246867,2.2129428903716124,4.565351199983894
KSDF,MUHAMMAD ALI INTERNATIONAL,Summer,995,27,2.7135678391959797,1.8715159696695658,3.919352171985728
KSDF,MUHAMMAD ALI INTERNATIONAL,Winter,157,16,10.191082802547772,6.370708050055185,15.913079228857738
KSLC,SALT LAKE CITY INTL,Autumn,1267,166,13.101815311760062,11.35484369451297,15.071864401916981
KSLC,SALT LAKE CITY INTL,Spring,833,78,9.36374549819928,7.567662446118289,11.532917639766543
