SIZE,AC_MASS_GROUP,Reported_Strikes,Damage_Records,Damage_Rate_Pct,Damage_Rate_CI95_Lower,Damage_Rate_CI95_Upper
Large,Heavy,7226,2341,32.39690008303349,31.32744833094015,33.485058764650994
Large,Light,4461,2960,66.35283568706568,64.95271391982028,67.7248171262979
Large,Medium,2643,1109,41.95989405978055,40.091459922019254,43.85166685972695
Large,Unknown,5271,50,0.948586605957124,0.7202927021336853,1.2483275498943565
Medium,Heavy,43122,5061,11.73646862390427,11.436086735677623,12.043667454209304
Medium,Light,6874,2366,34.419551934826885,33.305375698948964,35.551133005758636
Medium,Medium,8467,1473,17.396952875871026,16.604317252183915,18.21916002780677
Medium,Unknown,12847,79,0.6149295555382579,0.49372399033982206,0.7656612315587965
Not reported,Heavy,22579,708,3.135657026440498,2.916182318987344,3.371076056858501
Not reported,Light,3919,505,12.885940290890533,11.87318146119696,13.9713899841553
Not reported,Medium,4227,229,5.417553820676603,4.7747320851380985,6.141337190535092
Not reported,Unknown,767,16,2.0860495436766624,1.288040187376723,3.361631029122231
Small,Heavy,91253,2246,2.461288943925131,2.362740827359269,2.5638394938251095
Small,Light,12595,973,7.725287812624057,7.271781482415918,8.20457469305977
Small,Medium,20796,763,3.6689748028467015,3.421894120201617,3.9331695837450513
Small,Unknown,72060,29,0.04024424091035249,0.02802322893527032,0.05779179095120767
