SIZE,AC_MASS_GROUP,records,damaged_records,damage_rate,damage_rate_pct,historical_support
Not reported,Unknown,767,16,0.020860495436766623,2.09,Broader
Large,Medium,2643,1109,0.4195989405978055,41.96,Broader
Not reported,Light,3919,505,0.12885940290890532,12.89,Broader
Not reported,Medium,4227,229,0.05417553820676603,5.42,Broader
Large,Light,4461,2960,0.6635283568706568,66.35,Broader
Large,Unknown,5271,50,0.00948586605957124,0.95,Broader
Medium,Light,6874,2366,0.34419551934826886,34.42,Broader
Large,Heavy,7226,2341,0.3239690008303349,32.4,Broader
Medium,Medium,8467,1473,0.17396952875871027,17.4,Broader
Small,Light,12595,973,0.07725287812624057,7.73,Broader
Medium,Unknown,12847,79,0.006149295555382579,0.61,Broader
Small,Medium,20796,763,0.036689748028467015,3.67,Broader
Not reported,Heavy,22579,708,0.03135657026440498,3.14,Broader
Medium,Heavy,43122,5061,0.11736468623904271,11.74,Broader
Small,Unknown,72060,29,0.00040244240910352485,0.04,Broader
Small,Heavy,91253,2246,0.02461288943925131,2.46,Broader
