INCIDENT_MONTH,Reported_Strikes,Damage_Records,No_Damage_Records,Damage_Rate_Pct,Damage_Rate_CI95_Lower,Damage_Rate_CI95_Upper
1,10121,1114,9007,11.00681750815137,10.411796087095516,11.631428766911093
2,9732,1043,8689,10.717221537196876,10.11806545926749,11.347378267754529
3,15000,1809,13191,12.06,11.54852288549924,12.590905512625145
4,22363,1828,20535,8.174216339489334,7.822274770173861,8.540525420622856
5,31194,1610,29584,5.161248958132974,4.921201045009804,5.412339465049071
6,26488,1223,25265,4.617185140440955,4.3709697127580505,4.876562553930423
7,40680,1480,39200,3.638151425762045,3.460532389943536,3.8245259610849467
8,44894,1964,42930,4.374749409720676,4.1894194721167635,4.567887026109201
9,43087,2327,40760,5.400700907466289,5.191221186780964,5.618132789726191
10,40713,2759,37954,6.776705229287942,6.536608347755162,7.024958274347472
11,22245,2349,19896,10.559676331759945,10.162602814439945,10.970369789401143
12,12590,1402,11188,11.13582208101668,10.59813304128158,11.69722122139233
