INCIDENT_YEAR,Reported_Strikes,Damage_Records,No_Damage_Records,Damage_Rate_Pct,Damage_Rate_CI95_Lower,Damage_Rate_CI95_Upper
2024,22371,823,21548,3.6788699655804393,3.440037423903937,3.9336085195828763
2023,19625,721,18904,3.673885350318471,3.4196214488923182,3.9462824055664187
2019,17348,765,16583,4.409730228268388,4.114167563141582,4.7254797512967865
2022,17223,702,16521,4.075944957324508,3.790730469513665,4.38164165005119
2018,16206,725,15481,4.473651733925706,4.16601489700882,4.80286731588091
2021,15641,667,14974,4.264433220382329,3.9588449048184984,4.592482326260658
2017,14756,681,14075,4.615071835185687,4.288189466195919,4.965579219234961
2015,13777,624,13153,4.529287943674239,4.194541392364536,4.889385673454143
2014,13690,592,13098,4.324324324324325,3.9962118194742753,4.678064068162689
2016,13378,598,12780,4.470025414860218,4.132727208537638,4.833464709322157
2020,11625,493,11132,4.240860215053764,3.8893919570561737,4.622561632542982
2013,11406,616,10790,5.400666315974049,5.000663108878066,5.830701982114958
2012,10937,627,10310,5.732833500960044,5.312491829641547,6.184261765621181
2011,10112,547,9565,5.409414556962025,4.985210425799851,5.867486200054788
2010,9901,604,9297,6.1003938996061,5.645763386895314,6.589077400462659
2009,9509,608,8901,6.393942580713009,5.919608112038342,6.903496185209708
2007,7750,568,7182,7.329032258064516,6.769701729431822,7.930644999343244
2008,7639,527,7112,6.898808744600078,6.351870626893653,7.48907565151672
2006,7294,603,6691,8.267068823690703,7.6568296615974045,8.921244600798204
2005,7273,609,6664,8.373435996150144,7.7586073554989285,9.03221574005945
2004,6612,631,5981,9.54325468844525,8.858358577966047,10.275134581845998
2002,6223,670,5553,10.766511328941025,10.020454718436584,11.560977511989831
2000,6028,765,5263,12.690776376907763,11.874151879053048,13.554924375204022
2003,5992,630,5362,10.514018691588785,9.762492583283908,11.316142983072616
2001,5828,649,5179,11.13589567604667,10.353708954255726,11.969284180537237
1999,5118,705,4413,13.774912075029308,12.857838708562314,14.746326168383511
1998,3808,587,3221,15.414915966386555,14.302920603973377,16.596621496621786
1997,3560,575,2985,16.15168539325843,14.979381667578215,17.39696188259528
1996,3031,503,2528,16.595183107885187,15.313138239998485,17.961797756661102
1995,2827,500,2327,17.686593562079945,16.324180349228833,19.136708737606686
1994,2707,459,2248,16.956039896564462,15.589487977134311,18.4162466257285
1992,2652,364,2288,13.725490196078432,12.468148405233716,15.087772098458977
1993,2625,399,2226,15.2,13.877471687962961,16.624236745135484
1991,2515,400,2115,15.904572564612327,14.527381330144895,17.385764776382807
1990,2120,371,1749,17.5,15.941718335439903,19.175853521142994
