SPECIES,Reported_Strikes,Damage_Records,No_Damage_Records,Damage_Rate_Pct,Damage_Rate_CI95_Lower,Damage_Rate_CI95_Upper
Unknown bird - small,52259,1364,50895,2.6100767331942825,2.476823733937759,2.750296561029135
Unknown bird - medium,38955,4567,34388,11.723783853163908,11.408081493620012,12.047034789919591
Unknown bird,31049,1436,29613,4.624947663370801,4.396891843334839,4.864230333644931
Mourning dove,16374,298,16076,1.8199584707463052,1.626223312423753,2.036295929427993
Barn swallow,10838,38,10800,0.350618195238974,0.2555631901139541,0.4808578252973022
Killdeer,10663,81,10582,0.7596361249179405,0.6116455592235667,0.9430939430485961
American kestrel,9791,59,9732,0.6025942191808804,0.4674785019070803,0.7764578982486916
Horned lark,9209,47,9162,0.5103702899337604,0.3840412409733476,0.6779720253786974
Gulls,7551,1150,6401,15.229770891272679,14.437022092976251,16.057880672423888
European starling,6622,165,6457,2.4916943521594686,2.1429080622932473,2.8955703703937035
Eastern meadowlark,4784,40,4744,0.8361204013377926,0.6146413833413045,1.1364942432007266
Rock pigeon,4526,315,4211,6.959787892178524,6.254339714111447,7.738237862994122
Sparrows,4310,57,4253,1.322505800464037,1.0222057038276537,1.7095033139536202
Red-tailed hawk,4308,547,3761,12.697307335190345,11.736197021440747,13.72488670668136
Unknown bird - large,3859,1420,2439,36.79709769370303,35.289350963109214,38.33110502452434
Cliff swallow,3324,8,3316,0.24067388688327318,0.12200271625674781,0.47422758508932594
Western meadowlark,2788,34,2754,1.2195121951219512,0.8740027853384232,1.6992664144614509
American robin,2551,189,2362,7.408859270874167,6.455256944168664,8.490546349468014
Ring-billed gull,2395,150,2245,6.263048016701461,5.360939129115454,7.305241080532403
American barn owl,2247,64,2183,2.848242100578549,2.236799406479047,3.6206363188958526
Canada goose,2225,1026,1199,46.1123595505618,44.04952891982634,48.18859154597975
Herring gull,2169,167,2002,7.699400645458737,6.650781059218117,8.897595775982388
Chimney swift,1850,21,1829,1.135135135135135,0.7436368689774029,1.7291526077502746
Perching birds (y),1794,51,1743,2.842809364548495,2.16876313277286,3.718385100975875
Savannah sparrow,1720,12,1708,0.6976744186046512,0.399544736724156,1.2155456520911507
Hawks,1699,322,1377,18.952324896998235,17.1595191157467,20.885217399969154
Microbats,1684,7,1677,0.4156769596199525,0.20149619403002694,0.8555698244873504
Pacific golden-plover,1586,17,1569,1.0718789407313998,0.6702944972419205,1.709917468528758
Swallows,1582,11,1571,0.695322376738306,0.3886946471180473,1.240824971991453
Brazilian free-tailed bat,1473,9,1464,0.6109979633401221,0.3217758169305646,1.157164104588439
Mallard,1472,288,1184,19.565217391304348,17.618935684467633,21.669941929498528
Common nighthawk,1397,8,1389,0.5726556907659269,0.2904516767652663,1.1259540039341078
Doves,1367,57,1310,4.169714703730797,3.23218433663036,5.364111544673504
Blackbirds,1346,86,1260,6.389301634472511,5.202845572104006,7.823986613242778
White-tailed deer,1333,1099,234,82.44561140285072,80.31088972163415,84.39385914315282
Tree swallow,1322,1,1321,0.07564296520423601,0.013353745432373313,0.4272418732297655
Laughing gull,1289,33,1256,2.560124127230411,1.8286664444893672,3.573511208209927
Turkey vulture,1249,593,656,47.47798238590873,44.720515883909115,50.25091546064395
Western cattle egret,996,54,942,5.421686746987952,4.178921660306267,7.0070101912990275
Short-eared owl,975,18,957,1.8461538461538463,1.1709132860363307,2.8993673395521204
Ducks,959,312,647,32.53388946819604,29.643453041958384,35.56370045037098
Coyote,932,72,860,7.725321888412018,6.179454735685532,9.618261459020925
Bank swallow,895,2,893,0.22346368715083798,0.06130192522036102,0.8111098545637522
Meadowlarks,876,4,872,0.45662100456621,0.17770709521672196,1.1681715265715633
Striped skunk,857,2,855,0.2333722287047841,0.0640210888755089,0.8469014315974793
Yellow-rumped warbler,853,4,849,0.4689331770222743,0.18250258356841634,1.1995031453784508
Red-winged blackbird,845,8,837,0.9467455621301776,0.4804900127003936,1.8570014580286565
Swainson's thrush,828,39,789,4.710144927536232,3.4644744616225216,6.374129426425395
Eastern red bat,795,5,790,0.628930817610063,0.2689280686807047,1.463780893897108
American crow,765,54,711,7.0588235294117645,5.450175728984833,9.096591771629079
White-throated sparrow,685,9,676,1.313868613138686,0.6927351687489478,2.478037328150194
Osprey,681,153,528,22.46696035242291,19.49168233447815,25.751130018042485
Cedar waxwing,673,17,656,2.526002971768202,1.5829815341744256,4.007927771636564
Peregrine falcon,664,37,627,5.572289156626506,4.069432782865047,7.586265214983544
Great blue heron,639,118,521,18.466353677621285,15.649285957880387,21.660309438559416
House sparrow,623,5,618,0.8025682182985553,0.3432772789047393,1.8648722759429286
Western kingbird,620,3,617,0.4838709677419355,0.16469039610437028,1.4128895536777537
Black-tailed jackrabbit,581,8,573,1.376936316695353,0.6993218585391321,2.6933232610966797
Gray catbird,563,8,555,1.4209591474245116,0.7217334468814576,2.778644789295986
Hermit thrush,544,15,529,2.7573529411764706,1.677972670759837,4.499287325560267
Bald eagle,543,191,352,35.17495395948435,31.275410688487508,39.282791174721126
Song sparrow,537,3,534,0.5586592178770949,0.19016922143496456,1.6295132881944723
Brown-headed cowbird,523,3,520,0.5736137667304015,0.19526469879208602,1.6727730567685986
Virginia opossum,511,1,510,0.19569471624266144,0.034552390392660406,1.1000878562385366
Zebra dove,508,5,503,0.984251968503937,0.4211195445474913,2.2831545902629653
Dark-eyed junco,504,4,500,0.7936507936507936,0.3090506743307714,2.0227000132852098
Burrowing owl,496,5,491,1.0080645161290323,0.43132563479572583,2.337871646903116
American pipit,490,1,489,0.20408163265306123,0.03603358079012093,1.146855831523463
American coot,482,99,383,20.539419087136928,17.172471860831198,24.37226206067738
Geese,482,257,225,53.3195020746888,48.85689110597893,57.72961774793559
Red-eyed vireo,478,9,469,1.882845188284519,0.9936595599824387,3.5392823860844844
Snow bunting,462,6,456,1.2987012987012987,0.5965208936547178,2.804120010893094
Little brown bat,462,0,462,0.0,0.0,0.8246579953357536
Upland sandpiper,451,10,441,2.2172949002217295,1.2087499234238162,4.0329869801487686
White-headed gull complex,446,105,341,23.54260089686099,19.84134265281207,27.695745957934463
Scissor-tailed flycatcher,445,1,444,0.22471910112359553,0.03967843856376094,1.2618052028812392
Great horned owl,437,48,389,10.983981693363845,8.385278230754874,14.262675138437142
New World vultures,424,240,184,56.60377358490566,51.84772369901188,61.241232587613815
