SPECIES,Reported_Strikes,Damage_Records,No_Damage_Records,Damage_Rate_Pct,Damage_Rate_CI95_Lower,Damage_Rate_CI95_Upper
White-tailed deer,1333,1099,234,82.44561140285072,80.31088972163415,84.39385914315282
Black vulture,383,244,139,63.70757180156657,58.77777556153697,68.3651170332615
New World vultures,424,240,184,56.60377358490566,51.84772369901188,61.241232587613815
Geese,482,257,225,53.3195020746888,48.85689110597893,57.72961774793559
Turkey vulture,1249,593,656,47.47798238590873,44.720515883909115,50.25091546064395
Canada goose,2225,1026,1199,46.1123595505618,44.04952891982634,48.18859154597975
Northern pintail,282,128,154,45.39007092198582,39.679916425480286,51.224136728434324
Sandhill crane,217,78,139,35.944700460829495,29.855832189062664,42.52256028771708
Bald eagle,543,191,352,35.17495395948435,31.275410688487508,39.282791174721126
Ducks,959,312,647,32.53388946819604,29.643453041958384,35.56370045037098
Double-crested cormorant,257,78,179,30.35019455252918,25.052423578849105,36.22675888284411
White-headed gull complex,446,105,341,23.54260089686099,19.84134265281207,27.695745957934463
Osprey,681,153,528,22.46696035242291,19.49168233447815,25.751130018042485
American coot,482,99,383,20.539419087136928,17.172471860831198,24.37226206067738
Mallard,1472,288,1184,19.565217391304348,17.618935684467633,21.669941929498528
Hawks,1699,322,1377,18.952324896998235,17.1595191157467,20.885217399969154
Great blue heron,639,118,521,18.466353677621285,15.649285957880387,21.660309438559416
Gulls,7551,1150,6401,15.229770891272679,14.437022092976251,16.057880672423888
Swainson's hawk,260,39,221,15.0,11.170942925181858,19.8482746659789
Glaucous-winged gull,230,32,198,13.91304347826087,10.03061617455484,18.981159317915274
