Effect,Reported_Records,Percentage_of_All_Records
Not reported,304245,95.34262802132201
Precautionary Landing,8664,2.7150767610864066
Aborted Take-off,3152,0.9877564578652301
Other,1998,0.6261222724666021
"Other, Precautionary Landing",468,0.1466592710282131
Engine Shutdown,250,0.07834362768601127
"Engine Shutdown, Precautionary Landing",209,0.06549527274550543
"Engine Shutdown, Other, Precautionary Landing",59,0.01848909613389866
"Aborted Take-off, Engine Shutdown",32,0.010027984343809445
"Engine Shutdown, Other",17,0.0053273666826487666
"Aborted Take-off, Other",13,0.004073868639672586
