PRECIPITATION,Reported_Strikes,Damage_Records,No_Damage_Records,Damage_Rate_Pct,Damage_Rate_CI95_Lower,Damage_Rate_CI95_Upper
Not reported,307138,19582,287556,6.375635707727471,6.289773845497525,6.462588840081944
Rain,8347,839,7508,10.051515514556128,9.424714316079319,10.715071355343303
Fog,2624,356,2268,13.567073170731708,12.309951031132591,14.930716747321027
Snow,588,78,510,13.26530612244898,10.760562353126483,16.246934247315263
"Fog, Rain",337,43,294,12.759643916913946,9.612519716122579,16.746234614334732
"Rain, Snow",31,7,24,22.58064516129032,11.3949915944988,39.81276005869738
"Fog, Snow",18,1,17,5.555555555555555,0.9874935830924525,25.75779980200754
"None, Rain",9,1,8,11.11111111111111,1.9890371327130536,43.50062147680601
"None, Snow",7,0,7,0.0,0.0,35.433884297520656
"Fog, Rain, Snow",6,1,5,16.666666666666664,3.005258587173032,56.350943656364606
"Fog, None",2,0,2,0.0,0.0,65.76280471103807
