FAAREGION,Reported_Strikes,Damage_Records,No_Damage_Records,Damage_Rate_Pct,Damage_Rate_CI95_Lower,Damage_Rate_CI95_Upper
ASO,60200,3539,56661,5.878737541528239,5.693630483751002,6.069475344366121
AEA,43555,2923,40632,6.711054987946275,6.479863124569521,6.9498824451565575
AGL,43425,2441,40984,5.62118595279217,5.408446226814463,5.841776942849819
Not reported,41103,4295,36808,10.449358927572197,10.157313703750209,10.74879648497322
ASW,37244,1803,35441,4.841048222532488,4.627684323467913,5.063727164922864
AWP,34022,2203,31819,6.47522191523132,6.218607491989668,6.741664444384714
ANM,29340,1581,27759,5.3885480572597135,5.135974306778846,5.652802579203254
ACE,12986,818,12168,6.299091329123671,5.89401884288161,6.73001192282072
ANE,10312,632,9680,6.12878200155159,5.6819634337911,6.608275687367951
FGN,5340,464,4876,8.689138576779026,7.963023245130119,9.474649308637195
AAL,1580,209,1371,13.227848101265824,11.6461229550768,14.987954594092267
