STATE,Reported_Strikes,Damage_Records,No_Damage_Records,Damage_Rate_Pct,Damage_Rate_CI95_Lower,Damage_Rate_CI95_Upper
Not reported,41103,4295,36808,10.449358927572197,10.157313703750209,10.74879648497322
TX,27907,1242,26665,4.45049629125309,4.214755363926756,4.698775928515533
FL,23107,1781,21326,7.707621067209071,7.370711639957992,8.058590597135789
CA,22553,1757,20796,7.790537844189243,7.447877872018299,8.147574994929174
NY,15328,947,14381,6.178235908141962,5.807954387675724,6.570477698395397
CO,13913,385,13528,2.767196147487961,2.507393958406141,3.053074589285025
IL,13027,648,12379,4.97428417901282,4.61402416572092,5.3610920999852025
TN,9590,367,9223,3.8269030239833164,3.4610537345820704,4.229729903121517
OH,8719,438,8281,5.023511870627365,4.5844981410337216,5.502141515474544
PA,8683,519,8164,5.9771968213751006,5.497756049522665,6.495574184563796
MI,7875,413,7462,5.2444444444444445,4.773542999826075,5.7589901075789545
NJ,7755,481,7274,6.202450032237266,5.686993177532881,6.761277450907323
KY,7382,271,7111,3.6710918450284478,3.2656362085738326,4.124741619187867
MO,6976,418,6558,5.991972477064221,5.458865416997105,6.573522252086961
NC,6732,359,6373,5.332739156268568,4.821028601249652,5.895399172230057
GA,6205,341,5864,5.495568090249798,4.955566337892807,6.090642346187649
HI,5384,104,5280,1.9316493313521546,1.5968111948968786,2.33503416596154
FN,4870,414,4456,8.501026694045175,7.7500492492464375,9.317423768341987
IN,4662,214,4448,4.590304590304591,4.026036482212094,5.22934844127095
WA,4591,340,4251,7.405793944674363,6.683389690887859,8.19942150329999
DC,4589,332,4257,7.234691653955109,6.5203733810381195,8.020550477516029
UT,4416,406,4010,9.193840579710146,8.376728454532227,10.08188779995074
LA,4414,249,4165,5.6411418214771185,4.998282375746064,6.361147079578909
OR,4117,287,3830,6.971095457857664,6.232634845869304,7.789782322507173
MA,4091,298,3793,7.284282571498411,6.527358490503168,8.121354661185043
AZ,4029,214,3815,5.311491685281708,4.660591797291813,6.047530237553294
WI,3349,218,3131,6.509405792773962,5.722716662736491,7.395755739896548
VA,3262,304,2958,9.31943592887799,8.369105620500378,10.365471096263839
MN,3192,311,2881,9.74310776942356,8.762220554802127,10.820777551236672
MD,3046,218,2828,7.156927117531188,6.294440496278991,8.127344556426696
NE,2712,154,2558,5.678466076696165,4.868492812076623,6.613826333487685
SC,2595,156,2439,6.011560693641618,5.160377508992928,6.9927910411795775
OK,2493,145,2348,5.816285599679102,4.963691900378017,6.80483999207363
CT,2449,156,2293,6.369946917109025,5.4693780906029925,7.407181080604803
AL,2392,136,2256,5.68561872909699,4.826688824067172,6.686659971612809
IA,2247,130,2117,5.7854917668001775,4.893483769447755,6.828425049013748
AR,1612,120,1492,7.444168734491314,6.261478404235953,8.829208702718093
AK,1580,209,1371,13.227848101265824,11.6461229550768,14.987954594092267
ND,1440,101,1339,7.013888888888889,5.80600513202747,8.450517190088751
NV,1324,97,1227,7.326283987915408,6.0427844968893325,8.856703514331283
RI,1177,53,1124,4.502973661852167,3.458980115722157,5.842995695428127
SD,1161,98,1063,8.440999138673558,6.975682256139049,10.180435794589911
NH,1154,48,1106,4.15944540727903,3.1514572648812953,5.47162209243321
MS,1142,82,1060,7.180385288966725,5.822251224410645,8.825637279550111
KS,1051,116,935,11.037107516650808,9.282675983438125,13.075334925498346
ME,1046,62,984,5.927342256214149,4.651118738472959,7.52610875946578
ID,975,65,910,6.666666666666667,5.264818118110706,8.40865060246676
MT,973,63,910,6.474820143884892,5.093326797949594,8.198654215144034
NM,818,47,771,5.745721271393643,4.348137721680476,7.557027458568371
PR,697,29,668,4.160688665710186,2.91232373364496,5.911581696626303
WV,692,90,602,13.005780346820808,10.702410417211631,15.717625407033426
VT,395,15,380,3.79746835443038,2.314579893088905,6.170392587214052
VI,358,17,341,4.748603351955307,2.985614733091198,7.4724420519771835
WY,355,35,320,9.859154929577464,7.174590187415807,13.403180059957965
GU,328,5,323,1.524390243902439,0.6528305553588654,3.5183161604236046
MP,222,5,217,2.2522522522522523,0.9657605310355994,5.163136890874269
DE,200,32,168,16.0,11.567342208544588,21.714186193901238
ON,188,19,169,10.106382978723403,6.565805670534319,15.244687986732924
BC,125,14,111,11.200000000000001,6.789776657366933,17.923980390046324
UM,115,12,103,10.434782608695652,6.070443425864049,17.35704324546989
QC,69,3,66,4.3478260869565215,1.4895633850267167,12.021397384643361
AB,56,8,48,14.285714285714285,7.42070004258528,25.736167420851526
AS,55,7,48,12.727272727272727,6.304130417480197,24.017274846822605
MB,16,3,13,18.75,6.591478773586765,43.00935986845823
MH,12,2,10,16.666666666666664,4.696414761482223,44.80363573846727
NL,6,1,5,16.666666666666664,3.005258587173032,56.350943656364606
SK,5,2,3,40.0,11.76182311592533,76.9280067791163
NS,5,0,5,0.0,0.0,43.4491494752081
