SIZE,PHASE_OF_FLIGHT,Reported_Strikes,Damage_Records,Damage_Rate_Pct,Damage_Rate_CI95_Lower,Damage_Rate_CI95_Upper
Large,Approach,5423,2380,43.8871473354232,42.571137896783284,45.21181121306358
Large,Arrival,27,8,29.629629629629626,15.852853317647565,48.48103338083759
Large,Climb,2456,1341,54.600977198697066,52.62622778082934,56.56135567982926
Large,Departure,68,18,26.47058823529412,17.4496029752542,38.00795921712458
Large,Descent,196,99,50.51020408163265,43.56835807002607,57.432434557735114
Large,En Route,737,575,78.01899592944369,74.88810084105671,80.85930859167493
Large,Landing Roll,2945,1167,39.626485568760614,37.87453478266439,41.4054645228256
Large,Local,105,27,25.71428571428571,18.315791773630995,34.827124170272796
Large,Not reported,5331,118,2.2134683924216842,1.851587623703941,2.644170975764129
Large,Parked,7,2,28.57142857142857,8.221716570901549,64.10709098517873
Large,Take-off Run,2188,706,32.26691042047532,30.34056476687208,34.25541698655391
Large,Taxi,118,19,16.101694915254235,10.557198487865982,23.783781932614374
Medium,Approach,21754,3057,14.052588029787625,13.597103261389249,14.520766665561597
Medium,Arrival,91,11,12.087912087912088,6.885437664603105,20.36167752535573
Medium,Climb,8987,1963,21.842661622343385,21.00053775565464,22.708847581531145
Medium,Departure,180,26,14.444444444444443,10.051698986574694,20.323145444718328
Medium,Descent,928,187,20.150862068965516,17.69544772062807,22.852387877181684
Medium,En Route,1706,790,46.307151230949586,43.95190758708418,48.678988748576366
Medium,Landing Roll,6775,462,6.819188191881918,6.243081924245467,7.444235979745681
Medium,Local,202,32,15.841584158415841,11.450379494480295,21.507778623217977
Medium,Not reported,22073,1379,6.247451637747474,5.935724497936228,6.574405574292945
Medium,Parked,33,1,3.0303030303030303,0.5369272089651724,15.319061673168067
Medium,Take-off Run,8423,1061,12.59646206814674,11.904852995474197,13.322173937131247
Medium,Taxi,158,10,6.329113924050633,3.4738062402613283,11.257634872530437
Not reported,Approach,12280,494,4.022801302931596,3.689396681038256,4.3849633790914675
Not reported,Arrival,384,13,3.3854166666666665,1.9889276549083907,5.70534753372532
Not reported,Climb,3811,239,6.271319863552874,5.544729116654072,7.085981421890963
Not reported,Departure,2220,44,1.981981981981982,1.4797181484027964,2.650144338205961
Not reported,Descent,403,33,8.188585607940446,5.889917675450715,11.276861729605208
Not reported,En Route,866,145,16.74364896073903,14.404934840051029,19.376112191960317
Not reported,Landing Roll,3010,55,1.8272425249169437,1.4065418550903843,2.370750222900709
Not reported,Local,407,22,5.405405405405405,3.5964012652015422,8.048378620769109
Not reported,Not reported,5529,331,5.986616024597576,5.391303269871027,6.643048120199493
Not reported,Parked,5,0,0.0,0.0,43.4491494752081
Not reported,Take-off Run,2497,80,3.2038446135362433,2.5817915196320085,3.9696669973728276
Not reported,Taxi,80,2,2.5,0.6882748898125228,8.664600055322111
Small,Approach,42909,1241,2.892167144421916,2.7377654315151645,3.055003136856686
Small,Arrival,425,11,2.588235294117647,1.451243511063991,4.57466442324089
Small,Climb,13823,744,5.382333791506909,5.018371713529329,5.771088693683264
Small,Departure,1078,28,2.5974025974025974,1.803070669810395,3.728386061008609
Small,Descent,1180,83,7.033898305084746,5.709968898768766,8.63668017995933
Small,En Route,2562,264,10.304449648711945,9.186025163364631,11.541739169398543
Small,Landing Roll,22453,321,1.4296530530441367,1.2824758297778098,1.5934477373189986
Small,Local,690,10,1.4492753623188406,0.7890807378384896,2.6470925904831324
Small,Not reported,91588,672,0.7337205747477835,0.6804777534542785,0.7910961077704967
Small,Parked,69,1,1.4492753623188406,0.25628586443303747,7.7633073350573625
Small,Take-off Run,19530,626,3.2053251408090113,2.967341196279609,3.461714724804547
Small,Taxi,397,10,2.518891687657431,1.3738402478421978,4.574045400753157
