Term,Coefficient,Odds_Ratio,CI_95_low,CI_95_high,p_value,p_value_BH,Reject_at_0_05_BH
"C(SIZE, Treatment(reference=""Small""))[T.Large]",3.128738774786746,22.845148487762742,21.74079281180294,24.00560154110809,0.0,0.0,True
"C(SIZE, Treatment(reference=""Small""))[T.Medium]",1.6327632541701018,5.117997525102158,4.905238950562375,5.339984235416042,0.0,0.0,True
"C(SIZE, Treatment(reference=""Small""))[T.Not reported]",0.6234604054670739,1.8653718292337536,1.7455720037897375,1.9933936003467296,1.1109229558445662e-75,4.3325995277938085e-75,True
"C(NUM_STRUCK, Treatment(reference=""1""))[T.11–100]",1.915254984900244,6.788669584564397,5.887410966212128,7.827894976735559,4.615973394185326e-153,3.600459247464555e-152,True
"C(NUM_STRUCK, Treatment(reference=""1""))[T.2–10]",0.7067574477248326,2.0274066169551266,1.9397723518194019,2.118999988126503,9.994059609897047e-216,9.74420811964962e-215,True
"C(NUM_STRUCK, Treatment(reference=""1""))[T.More than 100]",2.902614211230024,18.22171858048188,9.890109892955707,33.57202615744137,1.2808025412170844e-20,3.121956194216643e-20,True
"C(NUM_STRUCK, Treatment(reference=""1""))[T.Not reported]",-0.8446568822712226,0.429704772244606,0.34570280805508397,0.5341182859595616,2.723655429847576e-14,5.5906611454766034e-14,True
"C(AC_CLASS, Treatment(reference=""A""))[T.B]",-0.7055804391157523,0.49382185753106583,0.44307130295105773,0.5503855143657755,3.0267433862000456e-37,9.080230158600137e-37,True
"C(AC_CLASS, Treatment(reference=""A""))[T.C]",-0.8188432721322998,0.44094140884126787,0.05330900176002255,3.6472137840091468,0.4474893960189952,0.4847801790205781,False
"C(AC_CLASS, Treatment(reference=""A""))[T.J]",-22.640840463858503,1.4696297026255638e-10,9.85967654375977e-305,1.0142320547350045e+304,0.9990503105296614,0.9993242977166101,False
"C(AC_CLASS, Treatment(reference=""A""))[T.Not reported]",-0.29718610464551964,0.7429057412862575,0.5641737874742042,0.978260515978543,0.03430267800943631,0.04053952855660655,True
"C(AC_CLASS, Treatment(reference=""A""))[T.Y]",-20.94504157654254,8.010949980793469e-10,9.85967654375977e-305,1.0142320547350045e+304,0.9993242977166101,0.9993242977166101,False
"C(AC_MASS_GROUP, Treatment(reference=""Heavy""))[T.Light]",1.3589210866603905,3.8919919137425714,3.7267249939914726,4.0645878300813045,0.0,0.0,True
"C(AC_MASS_GROUP, Treatment(reference=""Heavy""))[T.Medium]",0.4839464609392316,1.6224647780865296,1.551601615161186,1.696564330952897,4.1465301703976043e-100,2.3102096663643797e-99,True
"C(AC_MASS_GROUP, Treatment(reference=""Heavy""))[T.Unknown]",-2.062593442357568,0.12712385362444317,0.09134393635990347,0.17691895931280108,2.1312291107870976e-34,5.936995380049772e-34,True
"C(PHASE_OF_FLIGHT, Treatment(reference=""Approach""))[T.Arrival]",-0.07755988369642539,0.925371608064928,0.6687071096173861,1.2805495869523906,0.6398173092748268,0.6744020286950878,False
"C(PHASE_OF_FLIGHT, Treatment(reference=""Approach""))[T.Climb]",0.4637454556429977,1.5900181887672977,1.519251499651969,1.6640811881311222,1.1278255375478813e-88,5.498149495545922e-88,True
"C(PHASE_OF_FLIGHT, Treatment(reference=""Approach""))[T.Departure]",-0.49757610538001257,0.6080026093202613,0.49903042503981593,0.7407708115407028,7.909916686378801e-07,1.4022125034944238e-06,True
"C(PHASE_OF_FLIGHT, Treatment(reference=""Approach""))[T.Descent]",0.7363885236357746,2.088379744876861,1.8502977449159743,2.3570962947965977,8.882492490865533e-33,2.3094480476250382e-32,True
