Interaction_model,Term,Coefficient,Odds_Ratio,CI_95_low,CI_95_high,p_value,p_value_BH,Reject_at_0_05_BH
Wildlife size × aircraft mass,"C(SIZE, Treatment(reference=""Small""))[T.Large]:C(AC_MASS_GROUP, Treatment(reference=""Heavy""))[T.Light]",0.4916408138022243,1.6349967454589065,1.4547464251708084,1.8375809772808631,1.5927822022615698e-16,4.0815043932952725e-16,True
Wildlife size × aircraft mass,"C(SIZE, Treatment(reference=""Small""))[T.Medium]:C(AC_MASS_GROUP, Treatment(reference=""Heavy""))[T.Light]",0.2781109521394924,1.320632716105988,1.1955982139268568,1.45874320531243,4.247675168062127e-08,8.70773409452736e-08,True
Wildlife size × aircraft mass,"C(SIZE, Treatment(reference=""Small""))[T.Large]:C(AC_MASS_GROUP, Treatment(reference=""Heavy""))[T.Medium]",0.1476075901596568,1.1590579813548367,1.0201360958204682,1.3168982154894497,0.02345050050352939,0.02983336445852478,True
Wildlife size × aircraft mass,"C(SIZE, Treatment(reference=""Small""))[T.Medium]:C(AC_MASS_GROUP, Treatment(reference=""Heavy""))[T.Medium]",0.1380973908077876,1.1480873579847735,1.0319620969081347,1.277280033359399,0.011141291924260508,0.014735257061118737,True
Wildlife size × phase of flight,"C(SIZE, Treatment(reference=""Small""))[T.Large]:C(PHASE_OF_FLIGHT, Treatment(reference=""Approach""))[T.Arrival]",-0.4585622510604445,0.6321919256817808,0.22238453810909342,1.7971871349310133,0.38965694074354174,0.5417181859117531,False
Wildlife size × phase of flight,"C(SIZE, Treatment(reference=""Small""))[T.Medium]:C(PHASE_OF_FLIGHT, Treatment(reference=""Approach""))[T.Arrival]",-0.10871714510514091,0.8969840979618829,0.370874212150117,2.1694160597793912,0.8093476040192368,0.9414859883489081,False
Wildlife size × phase of flight,"C(SIZE, Treatment(reference=""Small""))[T.Large]:C(PHASE_OF_FLIGHT, Treatment(reference=""Approach""))[T.Climb]",-0.03863014825542413,0.962106480111192,0.837783386050726,1.1048785336212212,0.5842409947442406,0.730611566251515,False
Wildlife size × phase of flight,"C(SIZE, Treatment(reference=""Small""))[T.Medium]:C(PHASE_OF_FLIGHT, Treatment(reference=""Approach""))[T.Climb]",0.00995649739722786,1.0100062282287037,0.9003575625870859,1.1330082885399246,0.8651606227679101,0.9483491441879015,False
Wildlife size × phase of flight,"C(SIZE, Treatment(reference=""Small""))[T.Large]:C(PHASE_OF_FLIGHT, Treatment(reference=""Approach""))[T.Departure]",-0.7382010308023227,0.47797300126154507,0.2414005152381541,0.9463865050560606,0.03416906744771914,0.06282699498451583,False
Wildlife size × phase of flight,"C(SIZE, Treatment(reference=""Small""))[T.Medium]:C(PHASE_OF_FLIGHT, Treatment(reference=""Approach""))[T.Departure]",0.04084209229951022,1.0416876020637675,0.5849034714455783,1.855200239471181,0.8896896148622191,0.9568360008895563,False
Wildlife size × phase of flight,"C(SIZE, Treatment(reference=""Small""))[T.Large]:C(PHASE_OF_FLIGHT, Treatment(reference=""Approach""))[T.Descent]",-0.6850861451189103,0.5040468065324257,0.34652845952228717,0.7331668617514988,0.00033904943794726045,0.0008402529549127759,True
Wildlife size × phase of flight,"C(SIZE, Treatment(reference=""Small""))[T.Medium]:C(PHASE_OF_FLIGHT, Treatment(reference=""Approach""))[T.Descent]",-0.5638182013616793,0.5690322310609895,0.42708534385329144,0.7581568523631554,0.00011762556014718677,0.00033523284641948233,True
Wildlife size × phase of flight,"C(SIZE, Treatment(reference=""Small""))[T.Large]:C(PHASE_OF_FLIGHT, Treatment(reference=""Approach""))[T.En Route]",0.06508258460440672,1.0672471589292887,0.8424803090943915,1.3519799643353123,0.589616351711749,0.730611566251515,False
Wildlife size × phase of flight,"C(SIZE, Treatment(reference=""Small""))[T.Medium]:C(PHASE_OF_FLIGHT, Treatment(reference=""Approach""))[T.En Route]",0.29325532142224864,1.3407850778861778,1.1222314859559213,1.6019017890510816,0.0012370294550671768,0.0029379449557845453,True
Wildlife size × phase of flight,"C(SIZE, Treatment(reference=""Small""))[T.Large]:C(PHASE_OF_FLIGHT, Treatment(reference=""Approach""))[T.Landing Roll]",0.4570705449989559,1.5794403019338652,1.3480665260154931,1.8505256374448908,1.5530624377887382e-08,5.53278493462238e-08,True
