SIZE,PHASE_OF_FLIGHT,Reported_Strikes,Damage_Records,Damage_Rate,Sparse_under_100
Large,Parked,7,2,0.2857142857142857,True
Large,Arrival,27,8,0.2962962962962963,True
Medium,Parked,33,1,0.030303030303030304,True
Large,Departure,68,18,0.2647058823529412,True
Small,Parked,69,1,0.014492753623188406,True
Medium,Arrival,91,11,0.12087912087912088,True
Large,Local,105,27,0.2571428571428571,False
Large,Taxi,118,19,0.16101694915254236,False
Medium,Taxi,158,10,0.06329113924050633,False
Medium,Departure,180,26,0.14444444444444443,False
Large,Descent,196,99,0.5051020408163265,False
Medium,Local,202,32,0.15841584158415842,False
Small,Taxi,397,10,0.02518891687657431,False
Small,Arrival,425,11,0.02588235294117647,False
Small,Local,690,10,0.014492753623188406,False
Large,En Route,737,575,0.7801899592944369,False
Medium,Descent,928,187,0.20150862068965517,False
Small,Departure,1078,28,0.025974025974025976,False
Small,Descent,1180,83,0.07033898305084746,False
Medium,En Route,1706,790,0.4630715123094959,False
Large,Take-off Run,2188,706,0.3226691042047532,False
Large,Climb,2456,1341,0.5460097719869706,False
Small,En Route,2562,264,0.10304449648711944,False
Large,Landing Roll,2945,1167,0.3962648556876061,False
Large,Approach,5423,2380,0.438871473354232,False
Medium,Landing Roll,6775,462,0.06819188191881918,False
Medium,Take-off Run,8423,1061,0.1259646206814674,False
Medium,Climb,8987,1963,0.21842661622343384,False
Small,Climb,13823,744,0.05382333791506909,False
Small,Take-off Run,19530,626,0.032053251408090115,False
Medium,Approach,21754,3057,0.14052588029787624,False
Small,Landing Roll,22453,321,0.014296530530441366,False
Small,Approach,42909,1241,0.02892167144421916,False
