feature_index,transformed_feature
0,numeric__MONTH_SIN
1,numeric__MONTH_COS
2,numeric__NUM_ENGS
3,numeric__HEIGHT
4,numeric__SPEED
5,num_struck_ordinal__NUM_STRUCK
6,categorical__SEASON_Autumn
7,categorical__SEASON_Spring
8,categorical__SEASON_Summer
9,categorical__SEASON_Winter
10,categorical__WILDLIFE_TYPE_Bat
11,categorical__WILDLIFE_TYPE_Bird
12,categorical__WILDLIFE_TYPE_Other wildlife
13,categorical__WILDLIFE_TYPE_Reptile
14,categorical__WILDLIFE_TYPE_Terrestrial mammal
15,categorical__SIZE_Large
16,categorical__SIZE_Medium
17,categorical__SIZE_Not reported
18,categorical__SIZE_Small
19,categorical__AC_CLASS_A
20,categorical__AC_CLASS_B
21,categorical__AC_CLASS_Not reported
22,categorical__AC_CLASS_infrequent_sklearn
23,categorical__AC_MASS_GROUP_Heavy
24,categorical__AC_MASS_GROUP_Light
25,categorical__AC_MASS_GROUP_Medium
26,categorical__AC_MASS_GROUP_Unknown
27,categorical__TYPE_ENG_A
28,categorical__TYPE_ENG_B
29,categorical__TYPE_ENG_C
30,categorical__TYPE_ENG_D
31,categorical__TYPE_ENG_F
32,categorical__TYPE_ENG_Not reported
33,categorical__TYPE_ENG_infrequent_sklearn
34,categorical__WARNED_No
35,categorical__WARNED_Unknown
36,categorical__WARNED_Yes
37,categorical__PHASE_OF_FLIGHT_Approach
38,categorical__PHASE_OF_FLIGHT_Arrival
39,categorical__PHASE_OF_FLIGHT_Climb
40,categorical__PHASE_OF_FLIGHT_Departure
41,categorical__PHASE_OF_FLIGHT_Descent
42,categorical__PHASE_OF_FLIGHT_En Route
43,categorical__PHASE_OF_FLIGHT_Landing Roll
44,categorical__PHASE_OF_FLIGHT_Local
45,categorical__PHASE_OF_FLIGHT_Not reported
46,categorical__PHASE_OF_FLIGHT_Parked
47,categorical__PHASE_OF_FLIGHT_Take-off Run
48,categorical__PHASE_OF_FLIGHT_Taxi
49,categorical__TIME_OF_DAY_Dawn
50,categorical__TIME_OF_DAY_Day
51,categorical__TIME_OF_DAY_Dusk
52,categorical__TIME_OF_DAY_Night
53,categorical__TIME_OF_DAY_Not reported
54,categorical__SKY_No Cloud
55,categorical__SKY_Not reported
56,categorical__SKY_Overcast
57,categorical__SKY_Some Cloud
58,categorical__PRECIPITATION_Fog
59,"categorical__PRECIPITATION_Fog, Rain"
60,categorical__PRECIPITATION_Not reported
61,categorical__PRECIPITATION_Rain
62,categorical__PRECIPITATION_Snow
63,categorical__PRECIPITATION_infrequent_sklearn
