model,feature_set,parameters,mean_pr_auc,std_pr_auc,mean_roc_auc,mean_brier_score,mean_log_loss,mean_accuracy,mean_precision,mean_recall,mean_f1,mean_macro_f1,mean_weighted_f1
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 6, ""model__min_child_weight"": 1, ""model__n_estimators"": 600, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8, ""scale_pos_weight_mode"": ""none""}",0.45901132928103483,0.02440276623246168,0.886049140427924,0.04310944900257815,0.15755495285801224,0.9466522746547211,0.6313284691071356,0.29113712439908107,0.3983705279054109,0.6851857046486071,0.93731246750826
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 6, ""model__min_child_weight"": 1, ""model__n_estimators"": 600, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8, ""scale_pos_weight_mode"": ""none""}",0.4589153649044772,0.02554191798004785,0.886305307484194,0.04308505936792316,0.15749736775445272,0.9465995271025885,0.6309567171302857,0.29088571236315014,0.39803951116520786,0.6850065165131634,0.9372440143723619
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 6, ""model__min_child_weight"": 5, ""model__n_estimators"": 600, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8, ""scale_pos_weight_mode"": ""none""}",0.4582535662068453,0.02538154693210862,0.886377710203082,0.043105058423685595,0.15760598142077212,0.9465641775837355,0.629977465220675,0.2909448522102025,0.39785971684695026,0.6849069901315452,0.9372235272234487
xgboost,airport_aware,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.03, ""model__max_depth"": 6, ""model__min_child_weight"": 1, ""model__n_estimators"": 600, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8, ""scale_pos_weight_mode"": ""none""}",0.4578929434232003,0.026116079560723086,0.8860867104193355,0.043155968731576996,0.15765271761391914,0.9463076452562464,0.6229002838189268,0.29239918550663,0.39782452667473833,0.6848186792277688,0.9370984265235768
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.08, ""model__max_depth"": 6, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8, ""scale_pos_weight_mode"": ""none""}",0.45782923064510594,0.025192641788532328,0.8859780743516785,0.043171936576466285,0.15751439698785044,0.9463716319370082,0.6225819087890312,0.2955909534339919,0.4006744390913218,0.686258054316562,0.9373060870149876
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 6, ""model__min_child_weight"": 5, ""model__n_estimators"": 600, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8, ""scale_pos_weight_mode"": ""none""}",0.4577370164434648,0.024475164556241293,0.8860825138501183,0.04315419262878788,0.15772594376240376,0.9464281861169441,0.628577318666482,0.288574890669948,0.3954162166734614,0.6836501430902228,0.9370053437326259
xgboost,airport_aware,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.08, ""model__max_depth"": 6, ""model__min_child_weight"": 5, ""model__n_estimators"": 300, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8, ""scale_pos_weight_mode"": ""none""}",0.4577241349958128,0.025204514002453403,0.8859333848695494,0.04318475740714299,0.1576255134247673,0.9466327878093665,0.6265297143187644,0.29886048636488705,0.40448295416361013,0.6882292261245058,0.9376722518500935
xgboost,airport_aware,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.03, ""model__max_depth"": 6, ""model__min_child_weight"": 5, ""model__n_estimators"": 600, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8, ""scale_pos_weight_mode"": ""none""}",0.4576762524623145,0.025305211978631528,0.8863577395933426,0.04314374619027721,0.15765572153628737,0.9464253331925361,0.6258920074844255,0.29330498847213893,0.3992575364280536,0.6855665226246569,0.937212323452653
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.08, ""model__max_depth"": 6, ""model__min_child_weight"": 5, ""model__n_estimators"": 300, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8, ""scale_pos_weight_mode"": ""none""}",0.4576122352767011,0.024103913778897826,0.8861221643736995,0.043201601808078346,0.15765087106650283,0.9463842582548143,0.6241870141742277,0.2951984890190299,0.40064236084638666,0.6862453095007791,0.937279478599373
xgboost,airport_aware,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.03, ""model__max_depth"": 6, ""model__min_child_weight"": 1, ""model__n_estimators"": 600, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8, ""scale_pos_weight_mode"": ""none""}",0.4574936348650362,0.025114042937358687,0.885742413881571,0.04318313884675733,0.15775451052228623,0.9463156910266031,0.6239633137867788,0.2919384610978576,0.3975970954936748,0.6847073581005207,0.9370726504106534
