INDEX_NR,INCIDENT_YEAR,observed_severity,observed_severity_code,xgboost__extended_geographic__prob_M,xgboost__extended_geographic__prob_M?,xgboost__extended_geographic__prob_S+D,xgboost__airport_aware__prob_M,xgboost__airport_aware__prob_M?,xgboost__airport_aware__prob_S+D,random_forest__airport_aware__prob_M,random_forest__airport_aware__prob_M?,random_forest__airport_aware__prob_S+D,random_forest__extended_geographic__prob_M,random_forest__extended_geographic__prob_M?,random_forest__extended_geographic__prob_S+D,logistic__airport_aware__prob_M,logistic__airport_aware__prob_M?,logistic__airport_aware__prob_S+D,logistic__extended_geographic__prob_M,logistic__extended_geographic__prob_M?,logistic__extended_geographic__prob_S+D
817869,2019,M?,1,0.21956676,0.62898475,0.1514485,0.2676149,0.49041137,0.2419737,0.3707642947485226,0.42389781264456683,0.2053378926069104,0.3753746330231253,0.42612173865967357,0.1985036283172012,0.22661447273278099,0.4605328135864926,0.31285271368072637,0.2615976484227887,0.4588816452887561,0.27952070628845505
817933,2019,M?,1,0.2362526,0.55348223,0.21026516,0.2734406,0.5222416,0.20431781,0.30194539087575173,0.4611690253672895,0.23688558375695934,0.2899180526134491,0.4709622911945225,0.23911965619202843,0.27155649431289375,0.5324105946592744,0.1960329110278318,0.2681535051490775,0.5454364015889797,0.18641009326194283
817947,2019,M?,1,0.20444502,0.38269177,0.41286322,0.2324877,0.37670818,0.39080408,0.25348664820248196,0.3596772594753793,0.38683609232213906,0.23881028843991267,0.3541727909597833,0.4070169206003035,0.20464505635142707,0.3900735066790397,0.40528143696953317,0.20032068670606978,0.4039100863315735,0.39576922696235683
817987,2019,M?,1,0.12806867,0.80267245,0.06925886,0.1793124,0.70727324,0.11341435,0.26055277155884465,0.5434486567831694,0.19599857165798665,0.2437891607891449,0.5514838682987007,0.20472697091215486,0.20776540091331963,0.6652485381247989,0.1269860609618815,0.1549633726044169,0.7436252190301537,0.10141140836542926
818019,2019,M?,1,0.2362526,0.55348223,0.21026516,0.2734406,0.5222416,0.20431781,0.30194539087575173,0.4611690253672895,0.23688558375695934,0.2899180526134491,0.4709622911945225,0.23911965619202843,0.27155649431289375,0.5324105946592744,0.1960329110278318,0.2681535051490775,0.5454364015889797,0.18641009326194283
818088,2019,M?,1,0.21624878,0.33204657,0.4517047,0.27428994,0.33180875,0.39390135,0.25754914853192634,0.3219959356738267,0.4204549157942475,0.24836040979044874,0.32440339418725045,0.4272361960223,0.29554363575826753,0.3271327674008116,0.377323596840921,0.3072089854710196,0.3297322674964628,0.36305874703251767
818097,2019,M?,1,0.31737962,0.34310424,0.33951607,0.338824,0.3545938,0.3065822,0.343926743171941,0.3626336075010411,0.2934396493270184,0.3364867841030017,0.36100881134563517,0.30250440455136346,0.35445144076467805,0.36371754514246296,0.281831014092859,0.34216384860891075,0.3664766535447992,0.29135949784629
818098,2019,M?,1,0.31271178,0.38538966,0.30189857,0.3191474,0.3865445,0.2943081,0.33928357801709036,0.3778891337631363,0.2828272882197734,0.33239661705535367,0.3827804602512172,0.28482292269342957,0.33561253331821467,0.3891758098480132,0.27521165683377213,0.33344227584787656,0.38768498926994,0.27887273488218334
818127,2019,M?,1,0.251982,0.60659677,0.14142123,0.3217986,0.5132763,0.16492513,0.32295409482398535,0.44479803397422174,0.23224787120179297,0.3022860756633371,0.46452924865136536,0.23318467568529783,0.3516665248103158,0.48566834917132806,0.16266512601835617,0.36256111247967204,0.4964370484830497,0.14100183903727814
818155,2019,M?,1,0.27550018,0.31542885,0.40907097,0.27302858,0.32781464,0.39915675,0.37646994391221716,0.3013854517464814,0.3221446043413014,0.36084006341253655,0.29664988920651314,0.3425100473809499,0.25040674132356505,0.3290375637393753,0.4205556949370597,0.20547382373746478,0.36952753237258823,0.4249986438899469
