candidate,target,model_family,feature_set,best_params,artifact,file_size_mb
ENGINE_DAMAGE__logistic__airport_aware,ENGINE_DAMAGE,logistic,airport_aware,"{""model__C"": 0.07425699434260344, ""model__class_weight"": null, ""model__penalty"": ""l1"", ""model__solver"": ""saga""}",c:\Users\davis\Programing\MDA_programs\Capstone\faa-wildlife-strike-damage-analysis\models\candidates\08_component_modelling\engine_damage__logistic__airport_aware__uncalibrated.joblib,0.050922393798828125
ENGINE_DAMAGE__logistic__extended_geographic,ENGINE_DAMAGE,logistic,extended_geographic,"{""model__C"": 0.07425699434260344, ""model__class_weight"": null, ""model__penalty"": ""l1"", ""model__solver"": ""saga""}",c:\Users\davis\Programing\MDA_programs\Capstone\faa-wildlife-strike-damage-analysis\models\candidates\08_component_modelling\engine_damage__logistic__extended_geographic__uncalibrated.joblib,0.01195526123046875
ENGINE_DAMAGE__random_forest__airport_aware,ENGINE_DAMAGE,random_forest,airport_aware,"{""model__class_weight"": null, ""model__max_depth"": 18, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__min_samples_split"": 8, ""model__n_estimators"": 270}",c:\Users\davis\Programing\MDA_programs\Capstone\faa-wildlife-strike-damage-analysis\models\candidates\08_component_modelling\engine_damage__random_forest__airport_aware__uncalibrated.joblib,34.63453388214111
ENGINE_DAMAGE__random_forest__extended_geographic,ENGINE_DAMAGE,random_forest,extended_geographic,"{""model__class_weight"": null, ""model__max_depth"": 18, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__min_samples_split"": 8, ""model__n_estimators"": 270}",c:\Users\davis\Programing\MDA_programs\Capstone\faa-wildlife-strike-damage-analysis\models\candidates\08_component_modelling\engine_damage__random_forest__extended_geographic__uncalibrated.joblib,38.21388339996338
ENGINE_DAMAGE__xgboost__airport_aware,ENGINE_DAMAGE,xgboost,airport_aware,"{""model__colsample_bytree"": 0.9002787529358022, ""model__gamma"": 0.35403628889802274, ""model__learning_rate"": 0.020846957895078073, ""model__max_depth"": 4, ""model__min_child_weight"": 4, ""model__n_estimators"": 663, ""model__reg_alpha"": 0.0007068974950624604, ""model__reg_lambda"": 0.8620446097910766, ""model__scale_pos_weight"": 1.0, ""model__subsample"": 0.9043703774069292}",c:\Users\davis\Programing\MDA_programs\Capstone\faa-wildlife-strike-damage-analysis\models\candidates\08_component_modelling\engine_damage__xgboost__airport_aware__uncalibrated.joblib,0.9841089248657227
ENGINE_DAMAGE__xgboost__extended_geographic,ENGINE_DAMAGE,xgboost,extended_geographic,"{""model__colsample_bytree"": 0.821210123594367, ""model__gamma"": 0.018443473677266398, ""model__learning_rate"": 0.06830242638203236, ""model__max_depth"": 4, ""model__min_child_weight"": 4, ""model__n_estimators"": 303, ""model__reg_alpha"": 0.00013558227959926903, ""model__reg_lambda"": 1.4057822280864039, ""model__scale_pos_weight"": 1.0, ""model__subsample"": 0.8098904726667431}",c:\Users\davis\Programing\MDA_programs\Capstone\faa-wildlife-strike-damage-analysis\models\candidates\08_component_modelling\engine_damage__xgboost__extended_geographic__uncalibrated.joblib,0.4422645568847656
FORWARD_COCKPIT_DAMAGE__logistic__airport_aware,FORWARD_COCKPIT_DAMAGE,logistic,airport_aware,"{""model__C"": 0.3688639064891008, ""model__class_weight"": null, ""model__penalty"": ""l1"", ""model__solver"": ""saga""}",c:\Users\davis\Programing\MDA_programs\Capstone\faa-wildlife-strike-damage-analysis\models\candidates\08_component_modelling\forward_cockpit_damage__logistic__airport_aware__uncalibrated.joblib,0.05093097686767578
FORWARD_COCKPIT_DAMAGE__logistic__extended_geographic,FORWARD_COCKPIT_DAMAGE,logistic,extended_geographic,"{""model__C"": 0.3688639064891008, ""model__class_weight"": null, ""model__penalty"": ""l1"", ""model__solver"": ""saga""}",c:\Users\davis\Programing\MDA_programs\Capstone\faa-wildlife-strike-damage-analysis\models\candidates\08_component_modelling\forward_cockpit_damage__logistic__extended_geographic__uncalibrated.joblib,0.011963844299316406
FORWARD_COCKPIT_DAMAGE__random_forest__airport_aware,FORWARD_COCKPIT_DAMAGE,random_forest,airport_aware,"{""model__class_weight"": null, ""model__max_depth"": 18, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 3, ""model__min_samples_split"": 8, ""model__n_estimators"": 580}",c:\Users\davis\Programing\MDA_programs\Capstone\faa-wildlife-strike-damage-analysis\models\candidates\08_component_modelling\forward_cockpit_damage__random_forest__airport_aware__uncalibrated.joblib,43.952322006225586
FORWARD_COCKPIT_DAMAGE__random_forest__extended_geographic,FORWARD_COCKPIT_DAMAGE,random_forest,extended_geographic,"{""model__class_weight"": null, ""model__max_depth"": 18, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 3, ""model__min_samples_split"": 8, ""model__n_estimators"": 580}",c:\Users\davis\Programing\MDA_programs\Capstone\faa-wildlife-strike-damage-analysis\models\candidates\08_component_modelling\forward_cockpit_damage__random_forest__extended_geographic__uncalibrated.joblib,56.24199867248535
