fold,target,train_start,train_end,validation_start,validation_end,train_rows,validation_rows,train_positive,validation_positive
1,ENGINE_DAMAGE,1990,2003,2004,2006,7577,1843,2655,592
1,FORWARD_COCKPIT_DAMAGE,1990,2003,2004,2006,7577,1843,1658,454
1,WING_ROTOR_DAMAGE,1990,2003,2004,2006,7577,1843,1962,539
1,PROPELLER_DAMAGE,1990,2003,2004,2006,7577,1843,331,70
1,FUSELAGE_DAMAGE,1990,2003,2004,2006,7577,1843,382,97
1,LANDING_GEAR_DAMAGE,1990,2003,2004,2006,7577,1843,534,125
1,TAIL_DAMAGE,1990,2003,2004,2006,7577,1843,362,103
1,LIGHTS_DAMAGE,1990,2003,2004,2006,7577,1843,341,99
2,ENGINE_DAMAGE,1990,2006,2007,2009,9420,1703,3247,500
2,FORWARD_COCKPIT_DAMAGE,1990,2006,2007,2009,9420,1703,2112,433
2,WING_ROTOR_DAMAGE,1990,2006,2007,2009,9420,1703,2501,517
2,PROPELLER_DAMAGE,1990,2006,2007,2009,9420,1703,401,70
2,FUSELAGE_DAMAGE,1990,2006,2007,2009,9420,1703,479,124
2,LANDING_GEAR_DAMAGE,1990,2006,2007,2009,9420,1703,659,117
2,TAIL_DAMAGE,1990,2006,2007,2009,9420,1703,465,90
2,LIGHTS_DAMAGE,1990,2006,2007,2009,9420,1703,440,99
3,ENGINE_DAMAGE,1990,2009,2010,2012,11123,1778,3747,440
3,FORWARD_COCKPIT_DAMAGE,1990,2009,2010,2012,11123,1778,2545,458
3,WING_ROTOR_DAMAGE,1990,2009,2010,2012,11123,1778,3018,560
3,PROPELLER_DAMAGE,1990,2009,2010,2012,11123,1778,471,59
3,FUSELAGE_DAMAGE,1990,2009,2010,2012,11123,1778,603,122
3,LANDING_GEAR_DAMAGE,1990,2009,2010,2012,11123,1778,776,126
3,TAIL_DAMAGE,1990,2009,2010,2012,11123,1778,555,92
3,LIGHTS_DAMAGE,1990,2009,2010,2012,11123,1778,539,97
4,ENGINE_DAMAGE,1990,2012,2013,2015,12901,1832,4187,339
4,FORWARD_COCKPIT_DAMAGE,1990,2012,2013,2015,12901,1832,3003,454
4,WING_ROTOR_DAMAGE,1990,2012,2013,2015,12901,1832,3578,634
4,PROPELLER_DAMAGE,1990,2012,2013,2015,12901,1832,530,51
4,FUSELAGE_DAMAGE,1990,2012,2013,2015,12901,1832,725,113
4,LANDING_GEAR_DAMAGE,1990,2012,2013,2015,12901,1832,902,116
4,TAIL_DAMAGE,1990,2012,2013,2015,12901,1832,647,101
4,LIGHTS_DAMAGE,1990,2012,2013,2015,12901,1832,636,109
5,ENGINE_DAMAGE,1990,2015,2016,2018,14733,2004,4526,410
5,FORWARD_COCKPIT_DAMAGE,1990,2015,2016,2018,14733,2004,3457,514
5,WING_ROTOR_DAMAGE,1990,2015,2016,2018,14733,2004,4212,630
5,PROPELLER_DAMAGE,1990,2015,2016,2018,14733,2004,581,28
5,FUSELAGE_DAMAGE,1990,2015,2016,2018,14733,2004,838,138
5,LANDING_GEAR_DAMAGE,1990,2015,2016,2018,14733,2004,1018,98
5,TAIL_DAMAGE,1990,2015,2016,2018,14733,2004,748,102
5,LIGHTS_DAMAGE,1990,2015,2016,2018,14733,2004,745,105
