target,model,feature_set,best_params,mean_cv_pr_auc,std_cv_pr_auc,mean_cv_roc_auc,mean_cv_precision,mean_cv_recall,mean_cv_f1,mean_cv_brier,mean_cv_log_loss,n_iter
ENGINE_DAMAGE,random_forest,extended_geographic,"{""model__class_weight"": null, ""model__max_depth"": 18, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__min_samples_split"": 8, ""model__n_estimators"": 270}",0.5395403766494604,0.05031374697412303,0.7847283502521819,0.5690152507985401,0.44202496948413195,0.4949601621499499,0.1530756633417719,0.4669290304082607,16
ENGINE_DAMAGE,random_forest,airport_aware,"{""model__class_weight"": null, ""model__max_depth"": 18, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__min_samples_split"": 8, ""model__n_estimators"": 270}",0.537117031799184,0.0505287790760698,0.7843426431478073,0.5775943542096649,0.44461619392482765,0.49975559859754615,0.15322853738729622,0.46754455734792993,16
WING_ROTOR_DAMAGE,random_forest,extended_geographic,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 12, ""model__n_estimators"": 308}",0.5309054964010579,0.011383619919466688,0.7209618752061641,0.4915317246256937,0.5741908660276384,0.5294480823611922,0.2060694771454438,0.5996637438383269,16
WING_ROTOR_DAMAGE,random_forest,airport_aware,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 12, ""model__n_estimators"": 308}",0.5312154633545006,0.009947571583640628,0.7200366480262206,0.4923595535723866,0.571764361100606,0.5289121582979176,0.207198949280378,0.6024482699128393,16
FORWARD_COCKPIT_DAMAGE,random_forest,extended_geographic,"{""model__class_weight"": null, ""model__max_depth"": 18, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 3, ""model__min_samples_split"": 8, ""model__n_estimators"": 580}",0.48406190902027574,0.028769689051709832,0.7153108701336114,0.6622833991325546,0.1981222677534495,0.30346945958345517,0.16479321412117443,0.5050337299849138,16
FORWARD_COCKPIT_DAMAGE,random_forest,airport_aware,"{""model__class_weight"": null, ""model__max_depth"": 18, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 3, ""model__min_samples_split"": 8, ""model__n_estimators"": 580}",0.48346934523388463,0.02816501169408532,0.7144162294241049,0.6727574380675099,0.185748371983106,0.28902283020106684,0.1649951577919047,0.5055436153731849,16
LANDING_GEAR_DAMAGE,random_forest,extended_geographic,"{""model__class_weight"": null, ""model__max_depth"": 18, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 3, ""model__min_samples_split"": 8, ""model__n_estimators"": 580}",0.3448013845025627,0.05322032477559373,0.7875917818348072,0.45666666666666667,0.019949738056141995,0.03822120838163619,0.04937701659556008,0.19006670700982037,16
LANDING_GEAR_DAMAGE,random_forest,airport_aware,"{""model__class_weight"": null, ""model__max_depth"": 18, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__min_samples_split"": 8, ""model__n_estimators"": 270}",0.3500112064798446,0.047121666506745624,0.7870644816794841,0.5637987012987014,0.060820601839321045,0.10869209732388263,0.04915381985445165,0.18979852589757845,16
FUSELAGE_DAMAGE,random_forest,extended_geographic,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 14, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 9, ""model__min_samples_split"": 11, ""model__n_estimators"": 302}",0.13295868160525043,0.009539336901698572,0.6750840509288517,0.13900252630861548,0.3485717934494944,0.1979297367815362,0.1609947167379782,0.5034653219200819,16
FUSELAGE_DAMAGE,random_forest,airport_aware,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 14, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 9, ""model__min_samples_split"": 11, ""model__n_estimators"": 302}",0.12799714575447624,0.0074020488557931955,0.6747578745731166,0.13549221151370117,0.36319467185312315,0.19589294624608952,0.16711864517766578,0.517306095510885,16
