,DAM_RAD,DAM_WINDSHLD,DAM_NOSE,DAM_ENG1,DAM_ENG2,DAM_ENG3,DAM_ENG4,DAM_PROP,DAM_WING_ROT,DAM_FUSE,DAM_LG,DAM_TAIL,DAM_LGHTS,DAM_OTHER
DAM_RAD,2105,35,243,86,71,4,1,21,128,99,53,36,30,120
DAM_WINDSHLD,35,1468,110,43,23,0,0,42,133,118,42,73,33,152
DAM_NOSE,243,110,1763,142,69,2,1,111,207,212,126,69,70,166
DAM_ENG1,86,43,142,3085,190,7,1,173,250,128,142,68,72,117
DAM_ENG2,71,23,69,190,2602,3,3,71,155,71,84,40,44,67
DAM_ENG3,4,0,2,7,3,167,5,1,12,7,4,3,3,3
DAM_ENG4,1,0,1,1,3,5,68,1,5,1,1,1,1,0
DAM_PROP,21,42,111,173,71,1,1,701,160,105,182,46,34,74
DAM_WING_ROT,128,133,207,250,155,12,5,160,6296,256,282,170,179,239
DAM_FUSE,99,118,212,128,71,7,1,105,256,1209,146,111,65,148
DAM_LG,53,42,126,142,84,4,1,182,282,146,1308,65,94,115
DAM_TAIL,36,73,69,68,40,3,1,46,170,111,65,1052,51,88
DAM_LGHTS,30,33,70,72,44,3,1,34,179,65,94,51,1031,52
DAM_OTHER,120,152,166,117,67,3,0,74,239,148,115,88,52,2455
