component,positive,negative,missing,positive_rate,nonbinary_values
DAM_WING_ROT,6296,14612,0,0.30112875454371535,
DAM_ENG1,3085,17823,0,0.14755117658312608,
DAM_ENG2,2602,18306,0,0.12444997130285058,
DAM_OTHER,2455,18453,0,0.11741916969581022,
DAM_RAD,2105,18803,0,0.10067916586952362,
DAM_NOSE,1763,19145,0,0.08432179070212359,
DAM_WINDSHLD,1468,19440,0,0.07021235890568203,
DAM_LG,1308,19600,0,0.06255978572795103,
DAM_FUSE,1209,19699,0,0.05782475607422996,
DAM_TAIL,1052,19856,0,0.050315668643581404,
DAM_LGHTS,1031,19877,0,0.04931126841400421,
DAM_PROP,701,20207,0,0.033527836234933994,
DAM_ENG3,167,20741,0,0.007987373254256743,
DAM_ENG4,68,20840,0,0.00325234360053568,
