feature,rank,share_of_total_mean_abs_shap,cumulative_share
AC_MASS_GROUP,1,0.3270668,0.3270668
SIZE,2,0.23328999,0.5603568
PHASE_OF_FLIGHT,3,0.08241533,0.64277214
AC_CLASS,4,0.06914461,0.71191674
NUM_STRUCK,5,0.039073415,0.75099015
AIRPORT_ID,6,0.038136914,0.78912705
MONTH_COS,7,0.035690736,0.8248178
HEIGHT,8,0.03233203,0.8571498
STATE,9,0.028487729,0.8856375
WILDLIFE_TYPE,10,0.020273121,0.9059107
SPEED,11,0.019151818,0.9250625
MONTH_SIN,12,0.017539369,0.94260186
TIME_OF_DAY,13,0.015676184,0.95827806
FAAREGION,14,0.011361322,0.96963936
TYPE_ENG,15,0.009022355,0.9786617
WARNED,16,0.0075612837,0.986223
NUM_ENGS,17,0.005574265,0.99179727
SKY,18,0.0043548215,0.9961521
SEASON,19,0.0029105858,0.9990627
PRECIPITATION,20,0.00093727134,1.0
