feature,importance_mean_pr_auc_drop,importance_std,rank
SIZE,0.22018310798630703,0.007324874594660363,1
AC_MASS_GROUP,0.08884002187288127,0.013179971129963596,2
HEIGHT,0.03765434410872849,0.006961841323507327,3
PHASE_OF_FLIGHT,0.024532574996885503,0.0017411730351697202,4
AIRPORT_ID,0.022564572471340638,0.0017595337993313081,5
WILDLIFE_TYPE,0.019290902414222655,0.00372754594289834,6
NUM_STRUCK,0.016201618101032756,0.0029436575908739775,7
TYPE_ENG,0.012792524611755784,0.0017709007559125103,8
SPEED,0.011072366169878101,0.001238009405447879,9
MONTH_COS,0.010645783824437227,0.002591643100668685,10
TIME_OF_DAY,0.006993592275752169,0.002430750820147938,11
AC_CLASS,0.006892064482309235,0.003226497792719379,12
FAAREGION,0.0063908700232078505,0.0024072719534182184,13
STATE,0.006363498465168793,0.001282707202860926,14
MONTH_SIN,0.005503179503438238,0.0014103181314946466,15
SKY,0.003953879569622754,0.0013601724209298784,16
PRECIPITATION,-0.00011477630089717916,0.00033205663906979297,17
SEASON,-0.0001995804204557472,0.0011650278425843115,18
NUM_ENGS,-0.00044743032123879535,0.0004919257291033155,19
WARNED,-0.0009489792622737858,0.0016805617974375421,20
