feature,grouped_shap_rank,mean_abs_grouped_shap,mean_signed_grouped_shap
AC_MASS_GROUP,1,1.135926604270935,-0.9772673845291138
SIZE,2,0.810232937335968,-0.5709845423698425
PHASE_OF_FLIGHT,3,0.28623437881469727,-0.16784392297267914
NUM_STRUCK,5,0.13570478558540344,-0.05671142414212227
AIRPORT_ID,6,0.13245224952697754,-0.039741694927215576
MONTH_COS,7,0.12395649403333664,-0.02920316532254219
STATE,9,0.0989399328827858,-0.012211818248033524
MONTH_SIN,12,0.060915492475032806,-0.01390080526471138
TIME_OF_DAY,13,0.05444451421499252,0.019335124641656876
FAAREGION,14,0.03945869207382202,-0.0020260573364794254
SEASON,19,0.010108673945069313,-0.0005400076624937356
