feature,seen_airport,unseen_airport
AC_CLASS,0.21461084,0.08822253
AC_MASS_GROUP,1.0503241,0.7610191
AIRPORT_ID,0.13909723,0.4335212
FAAREGION,0.040396873,0.04863678
HEIGHT,0.11893168,0.20350143
MONTH_COS,0.12450351,0.11946326
MONTH_SIN,0.05797431,0.058172796
NUM_ENGS,0.018016385,0.039537203
NUM_STRUCK,0.13519296,0.15708913
PHASE_OF_FLIGHT,0.27724898,0.18677108
PRECIPITATION,0.0046216273,0.0043195672
SEASON,0.010897025,0.012045405
SIZE,0.80097693,1.0667275
SKY,0.014304729,0.023958676
SPEED,0.066899166,0.10867285
STATE,0.10568108,0.06682405
TIME_OF_DAY,0.052737143,0.04644254
TYPE_ENG,0.028626198,0.11684032
WARNED,0.02767437,0.050985355
WILDLIFE_TYPE,0.06831717,0.14357863
