value,count,mean_shap,median_shap,mean_abs_shap
FGN,74,-0.09523744,-0.09015013,0.09523745
Not reported,774,0.08953059,0.08380238,0.08953059
ASO,1108,-0.053368993,-0.051389746,0.053425785
ANE,163,-0.040677253,-0.036677025,0.040677257
ANM,497,0.033586953,0.0246711,0.03405837
ASW,606,-0.023858784,-0.0182413,0.024407364
AWP,476,-0.015701897,-0.013228292,0.016316108
AEA,487,-0.011722787,-0.012320081,0.013554061
AGL,615,0.006357732,0.0024323314,0.011891774
AAL,22,-0.0021719728,-0.0050103134,0.009305667
ACE,178,0.00264286,0.001159478,0.008537756
