value,count,mean_shap,median_shap,mean_abs_shap
Climb,330,0.44752076,0.45678395,0.44752076
Landing Roll,520,-0.37852845,-0.40899026,0.40116826
Not reported,2237,-0.37857568,-0.53040636,0.38514155
Descent,48,0.37127897,0.35273916,0.3712789
Local,28,-0.015807275,-0.2103335,0.3488986
En Route,77,0.31635228,0.29938775,0.31635225
Departure,107,-0.2233939,-0.24766414,0.2233939
Take-off Run,410,0.17989199,0.16245323,0.179892
Arrival,34,0.08689359,0.06789079,0.08689359
Approach,1198,-0.031229446,-0.04250849,0.04994049
