feature,mean_abs_grouped_shap,mean_signed_grouped_shap,share_of_total_mean_abs_shap,rank
AC_MASS_GROUP,1.1359266,-0.9772674,0.3270668,1
SIZE,0.81023294,-0.57098454,0.23328999,2
PHASE_OF_FLIGHT,0.28623438,-0.16784392,0.08241533,3
AC_CLASS,0.24014421,-0.1743468,0.06914461,4
NUM_STRUCK,0.13570479,-0.056711424,0.039073415,5
AIRPORT_ID,0.13245225,-0.039741695,0.038136914,6
MONTH_COS,0.123956494,-0.029203165,0.035690736,7
HEIGHT,0.11229147,-0.030332029,0.03233203,8
STATE,0.09893993,-0.012211818,0.028487729,9
WILDLIFE_TYPE,0.07041001,-0.007052405,0.020273121,10
SPEED,0.06651565,-0.024910467,0.019151818,11
MONTH_SIN,0.060915492,-0.013900805,0.017539369,12
TIME_OF_DAY,0.054444514,0.019335125,0.015676184,13
FAAREGION,0.039458692,-0.0020260573,0.011361322,14
TYPE_ENG,0.03133529,-0.014245031,0.009022355,15
WARNED,0.026260883,-0.006574074,0.0075612837,16
NUM_ENGS,0.019359823,-0.01260653,0.005574265,17
SKY,0.01512461,0.0068995478,0.0043548215,18
SEASON,0.010108674,-0.00054000766,0.0029105858,19
PRECIPITATION,0.0032552108,-0.00159801,0.00093727134,20
