feature,2022,2023,2024
AC_CLASS,0.23966864,0.23746628,0.24289551
AC_MASS_GROUP,1.1515929,1.1140058,1.143278
AIRPORT_ID,0.13336188,0.13039902,0.13357341
FAAREGION,0.03809713,0.04061042,0.03949006
HEIGHT,0.11450016,0.11125617,0.1114995
MONTH_COS,0.12147974,0.12477121,0.1251526
MONTH_SIN,0.06291348,0.061694775,0.05867258
NUM_ENGS,0.020083569,0.018765539,0.019327205
NUM_STRUCK,0.13806142,0.1355125,0.13404807
PHASE_OF_FLIGHT,0.28997758,0.2865109,0.28308517
PRECIPITATION,0.0031114214,0.0035940479,0.0030652827
SEASON,0.009778453,0.010188661,0.010293626
SIZE,0.82065696,0.80170876,0.80973184
SKY,0.014912559,0.014981293,0.015416573
SPEED,0.068399586,0.066234626,0.06530449
STATE,0.09580734,0.101114795,0.099434644
TIME_OF_DAY,0.052057844,0.056120254,0.05480475
TYPE_ENG,0.030967083,0.030730033,0.032159347
WARNED,0.026241388,0.023320002,0.028892376
WILDLIFE_TYPE,0.06880676,0.06394521,0.07740496
