feature,sample_1_mean_abs_shap,sample_2_mean_abs_shap,sample_1_rank,sample_2_rank
SEASON,0.010108674,0.009849657,19.0,19.0
MONTH_SIN,0.060915492,0.060421936,12.0,12.0
MONTH_COS,0.123956494,0.12422312,7.0,7.0
WILDLIFE_TYPE,0.07041001,0.06885668,10.0,10.0
SIZE,0.81023294,0.81314087,2.0,2.0
NUM_STRUCK,0.13570479,0.134766,5.0,5.0
AC_CLASS,0.24014421,0.23739026,4.0,4.0
AC_MASS_GROUP,1.1359266,1.1232541,1.0,1.0
TYPE_ENG,0.03133529,0.0314095,15.0,15.0
NUM_ENGS,0.019359823,0.018284895,17.0,17.0
WARNED,0.026260883,0.02608916,16.0,16.0
PHASE_OF_FLIGHT,0.28623438,0.2809636,3.0,3.0
HEIGHT,0.11229147,0.110176735,8.0,8.0
SPEED,0.06651565,0.064770974,11.0,11.0
TIME_OF_DAY,0.054444514,0.054071266,13.0,13.0
SKY,0.01512461,0.015149507,18.0,18.0
PRECIPITATION,0.0032552108,0.0032365287,20.0,20.0
STATE,0.09893993,0.100870766,9.0,9.0
FAAREGION,0.039458692,0.03978914,14.0,14.0
AIRPORT_ID,0.13245225,0.12915239,6.0,6.0
