transformed_feature,mean_abs_shap_raw_log_odds,mean_signed_shap_raw_log_odds,rank
categorical__AC_MASS_GROUP_Unknown,1.0307558,-0.9150044,1
categorical__SIZE_Small,0.6008181,-0.31281397,2
categorical__PHASE_OF_FLIGHT_Not reported,0.20733662,-0.114162765,3
categorical__AC_CLASS_Not reported,0.1893278,-0.13937914,4
categorical__SIZE_Large,0.18741037,-0.10214014,5
categorical__SIZE_Medium,0.15320528,-0.10934268,6
categorical__AC_MASS_GROUP_Light,0.13634297,-0.049105305,7
num_struck_ordinal__NUM_STRUCK,0.1357048,-0.05671144,8
numeric__MONTH_COS,0.12395646,-0.029203149,9
categorical__AC_MASS_GROUP_Heavy,0.122418895,-0.013156604,10
numeric__HEIGHT,0.112291306,-0.030331986,11
categorical__AIRPORT_ID_infrequent_sklearn,0.094008334,-0.020759765,12
categorical__STATE_Not reported,0.07800324,-0.007073032,13
categorical__PHASE_OF_FLIGHT_Landing Roll,0.07460077,-0.008611597,14
categorical__PHASE_OF_FLIGHT_Climb,0.07208202,-0.033926304,15
categorical__SIZE_Not reported,0.07205189,-0.046687134,16
numeric__SPEED,0.066515625,-0.024910493,17
numeric__MONTH_SIN,0.060915478,-0.013900792,18
categorical__AC_CLASS_A,0.04903366,-0.03578609,19
categorical__WILDLIFE_TYPE_Other wildlife,0.04364089,0.01441458,20
categorical__PHASE_OF_FLIGHT_Approach,0.043430384,0.0069789095,21
categorical__AIRPORT_ID_ZZZZ,0.034563404,-0.00953599,22
categorical__TIME_OF_DAY_Not reported,0.030886654,0.014706378,23
categorical__WARNED_Yes,0.02420758,0.00266111,24
categorical__FAAREGION_Not reported,0.024082998,0.0009849733,25
categorical__TIME_OF_DAY_Night,0.02189081,0.0023479764,26
categorical__WILDLIFE_TYPE_Bat,0.01970962,-0.015151819,27
numeric__NUM_ENGS,0.01935981,-0.012606536,28
categorical__WARNED_No,0.01889545,-0.012424324,29
categorical__TYPE_ENG_Not reported,0.018462311,-0.012235463,30
categorical__TYPE_ENG_A,0.017265694,-0.008350501,31
categorical__TIME_OF_DAY_Day,0.015426896,0.003641781,32
categorical__FAAREGION_ASO,0.014616273,-0.0027255397,33
categorical__PHASE_OF_FLIGHT_Take-off Run,0.013452506,-0.0030118562,34
categorical__PHASE_OF_FLIGHT_En Route,0.013450591,-0.0072666886,35
categorical__STATE_TN,0.013161914,-0.0032984554,36
categorical__SKY_Not reported,0.012690725,0.0066112718,37
categorical__STATE_FL,0.011869445,0.0012174136,38
categorical__TYPE_ENG_F,0.008908578,0.0025394473,39
categorical__PHASE_OF_FLIGHT_Departure,0.007733763,-0.005099259,40
categorical__STATE_UT,0.0073266556,0.00019265848,41
categorical__FAAREGION_ANM,0.0069962624,0.00022532088,42
categorical__PHASE_OF_FLIGHT_Descent,0.0067822426,-0.0022512043,43
categorical__WILDLIFE_TYPE_Bird,0.0066829277,-0.0010872763,44
categorical__TYPE_ENG_D,0.0064541167,0.0017285313,45
categorical__WILDLIFE_TYPE_Terrestrial mammal,0.006381477,-0.0046022516,46
categorical__WARNED_Unknown,0.0063323197,0.003189128,47
categorical__STATE_CO,0.0056289723,-0.0025356167,48
categorical__AIRPORT_ID_KIAH,0.0054431874,-0.0021887766,49
categorical__SEASON_Autumn,0.005245761,7.2645846e-05,50
categorical__STATE_HI,0.0051701446,0.000106003834,51
categorical__SEASON_Summer,0.0051263887,-0.00023846357,52
categorical__TIME_OF_DAY_Dusk,0.0049993875,-0.0016029131,53
categorical__TYPE_ENG_C,0.0049079517,0.0034737287,54
categorical__STATE_FN,0.004541763,0.0008074991,55
categorical__AIRPORT_ID_KJFK,0.0044142795,-0.00021353002,56
categorical__FAAREGION_AGL,0.0036803135,-0.0005779959,57
categorical__SKY_No Cloud,0.0036119954,-0.0009346029,58
categorical__AC_MASS_GROUP_Medium,0.0035886497,-1.7376401e-06,59
categorical__FAAREGION_ASW,0.003535521,-0.0006212617,60
categorical__AIRPORT_ID_KORD,0.0033160348,-0.0008124058,61
categorical__PHASE_OF_FLIGHT_Local,0.003169727,-0.00040159174,62
categorical__AC_CLASS_B,0.0031077866,0.0008186747,63
categorical__FAAREGION_FGN,0.002902814,0.00048554468,64
categorical__SKY_Overcast,0.0027274943,0.0009591402,65
categorical__SEASON_Winter,0.0026297814,-0.00037620362,66
categorical__STATE_KY,0.0025731963,-0.00030178612,67
categorical__STATE_TX,0.002542889,-0.00045803524,68
categorical__AIRPORT_ID_KDEN,0.0024873193,-0.0009095153,69
categorical__FAAREGION_ANE,0.002446011,0.0002414592,70
categorical__AIRPORT_ID_KJAX,0.0023266282,-0.0003668909,71
categorical__AIRPORT_ID_KDAL,0.0022782767,0.00089838676,72
categorical__SKY_Some Cloud,0.0021615434,0.00026372698,73
categorical__AIRPORT_ID_KSDF,0.0021534227,-3.210838e-05,74
categorical__STATE_WI,0.002133666,-0.00010023683,75
