transformed_feature,source_feature
numeric__MONTH_SIN,MONTH_SIN
numeric__MONTH_COS,MONTH_COS
numeric__NUM_ENGS,NUM_ENGS
numeric__HEIGHT,HEIGHT
numeric__SPEED,SPEED
num_struck_ordinal__NUM_STRUCK,NUM_STRUCK
categorical__SEASON_Autumn,SEASON
categorical__SEASON_Spring,SEASON
categorical__SEASON_Summer,SEASON
categorical__SEASON_Winter,SEASON
categorical__WILDLIFE_TYPE_Bat,WILDLIFE_TYPE
categorical__WILDLIFE_TYPE_Bird,WILDLIFE_TYPE
categorical__WILDLIFE_TYPE_Other wildlife,WILDLIFE_TYPE
categorical__WILDLIFE_TYPE_Reptile,WILDLIFE_TYPE
categorical__WILDLIFE_TYPE_Terrestrial mammal,WILDLIFE_TYPE
categorical__SIZE_Large,SIZE
categorical__SIZE_Medium,SIZE
categorical__SIZE_Not reported,SIZE
categorical__SIZE_Small,SIZE
categorical__AC_CLASS_A,AC_CLASS
categorical__AC_CLASS_B,AC_CLASS
categorical__AC_CLASS_Not reported,AC_CLASS
categorical__AC_CLASS_infrequent_sklearn,AC_CLASS
categorical__AC_MASS_GROUP_Heavy,AC_MASS_GROUP
categorical__AC_MASS_GROUP_Light,AC_MASS_GROUP
categorical__AC_MASS_GROUP_Medium,AC_MASS_GROUP
categorical__AC_MASS_GROUP_Unknown,AC_MASS_GROUP
categorical__TYPE_ENG_A,TYPE_ENG
categorical__TYPE_ENG_B,TYPE_ENG
categorical__TYPE_ENG_C,TYPE_ENG
categorical__TYPE_ENG_D,TYPE_ENG
categorical__TYPE_ENG_F,TYPE_ENG
categorical__TYPE_ENG_Not reported,TYPE_ENG
categorical__TYPE_ENG_infrequent_sklearn,TYPE_ENG
categorical__WARNED_No,WARNED
categorical__WARNED_Unknown,WARNED
categorical__WARNED_Yes,WARNED
categorical__PHASE_OF_FLIGHT_Approach,PHASE_OF_FLIGHT
categorical__PHASE_OF_FLIGHT_Arrival,PHASE_OF_FLIGHT
categorical__PHASE_OF_FLIGHT_Climb,PHASE_OF_FLIGHT
categorical__PHASE_OF_FLIGHT_Departure,PHASE_OF_FLIGHT
categorical__PHASE_OF_FLIGHT_Descent,PHASE_OF_FLIGHT
categorical__PHASE_OF_FLIGHT_En Route,PHASE_OF_FLIGHT
categorical__PHASE_OF_FLIGHT_Landing Roll,PHASE_OF_FLIGHT
categorical__PHASE_OF_FLIGHT_Local,PHASE_OF_FLIGHT
categorical__PHASE_OF_FLIGHT_Not reported,PHASE_OF_FLIGHT
categorical__PHASE_OF_FLIGHT_Parked,PHASE_OF_FLIGHT
categorical__PHASE_OF_FLIGHT_Take-off Run,PHASE_OF_FLIGHT
categorical__PHASE_OF_FLIGHT_Taxi,PHASE_OF_FLIGHT
categorical__TIME_OF_DAY_Dawn,TIME_OF_DAY
categorical__TIME_OF_DAY_Day,TIME_OF_DAY
categorical__TIME_OF_DAY_Dusk,TIME_OF_DAY
categorical__TIME_OF_DAY_Night,TIME_OF_DAY
categorical__TIME_OF_DAY_Not reported,TIME_OF_DAY
categorical__SKY_No Cloud,SKY
categorical__SKY_Not reported,SKY
categorical__SKY_Overcast,SKY
categorical__SKY_Some Cloud,SKY
categorical__PRECIPITATION_Fog,PRECIPITATION
"categorical__PRECIPITATION_Fog, Rain",PRECIPITATION
categorical__PRECIPITATION_Not reported,PRECIPITATION
categorical__PRECIPITATION_Rain,PRECIPITATION
categorical__PRECIPITATION_Snow,PRECIPITATION
categorical__PRECIPITATION_infrequent_sklearn,PRECIPITATION
categorical__STATE_AK,STATE
categorical__STATE_AL,STATE
categorical__STATE_AR,STATE
categorical__STATE_AZ,STATE
categorical__STATE_BC,STATE
categorical__STATE_CA,STATE
categorical__STATE_CO,STATE
categorical__STATE_CT,STATE
categorical__STATE_DC,STATE
categorical__STATE_DE,STATE
categorical__STATE_FL,STATE
categorical__STATE_FN,STATE
categorical__STATE_GA,STATE
categorical__STATE_GU,STATE
categorical__STATE_HI,STATE
categorical__STATE_IA,STATE
categorical__STATE_ID,STATE
categorical__STATE_IL,STATE
categorical__STATE_IN,STATE
categorical__STATE_KS,STATE
categorical__STATE_KY,STATE
categorical__STATE_LA,STATE
categorical__STATE_MA,STATE
categorical__STATE_MD,STATE
categorical__STATE_ME,STATE
categorical__STATE_MI,STATE
categorical__STATE_MN,STATE
categorical__STATE_MO,STATE
categorical__STATE_MP,STATE
categorical__STATE_MS,STATE
categorical__STATE_MT,STATE
categorical__STATE_NC,STATE
categorical__STATE_ND,STATE
categorical__STATE_NE,STATE
categorical__STATE_NH,STATE
categorical__STATE_NJ,STATE
categorical__STATE_NM,STATE
categorical__STATE_NV,STATE
categorical__STATE_NY,STATE
categorical__STATE_Not reported,STATE
categorical__STATE_OH,STATE
categorical__STATE_OK,STATE
categorical__STATE_ON,STATE
categorical__STATE_OR,STATE
categorical__STATE_PA,STATE
categorical__STATE_PR,STATE
categorical__STATE_QC,STATE
categorical__STATE_RI,STATE
categorical__STATE_SC,STATE
categorical__STATE_SD,STATE
categorical__STATE_TN,STATE
categorical__STATE_TX,STATE
categorical__STATE_UM,STATE
categorical__STATE_UT,STATE
categorical__STATE_VA,STATE
categorical__STATE_VI,STATE
categorical__STATE_VT,STATE
categorical__STATE_WA,STATE
categorical__STATE_WI,STATE
categorical__STATE_WV,STATE
categorical__STATE_WY,STATE
categorical__STATE_infrequent_sklearn,STATE
categorical__FAAREGION_AAL,FAAREGION
categorical__FAAREGION_ACE,FAAREGION
categorical__FAAREGION_AEA,FAAREGION
categorical__FAAREGION_AGL,FAAREGION
categorical__FAAREGION_ANE,FAAREGION
categorical__FAAREGION_ANM,FAAREGION
categorical__FAAREGION_ASO,FAAREGION
categorical__FAAREGION_ASW,FAAREGION
categorical__FAAREGION_AWP,FAAREGION
categorical__FAAREGION_FGN,FAAREGION
categorical__FAAREGION_Not reported,FAAREGION
categorical__AIRPORT_ID_CYVR,AIRPORT_ID
categorical__AIRPORT_ID_CYYZ,AIRPORT_ID
categorical__AIRPORT_ID_EDDK,AIRPORT_ID
categorical__AIRPORT_ID_EGLL,AIRPORT_ID
categorical__AIRPORT_ID_KABE,AIRPORT_ID
categorical__AIRPORT_ID_KABQ,AIRPORT_ID
categorical__AIRPORT_ID_KABR,AIRPORT_ID
categorical__AIRPORT_ID_KACK,AIRPORT_ID
categorical__AIRPORT_ID_KACY,AIRPORT_ID
categorical__AIRPORT_ID_KADS,AIRPORT_ID
categorical__AIRPORT_ID_KAFW,AIRPORT_ID
categorical__AIRPORT_ID_KAGC,AIRPORT_ID
categorical__AIRPORT_ID_KAGS,AIRPORT_ID
categorical__AIRPORT_ID_KALB,AIRPORT_ID
categorical__AIRPORT_ID_KAMA,AIRPORT_ID
categorical__AIRPORT_ID_KAPA,AIRPORT_ID
categorical__AIRPORT_ID_KAPC,AIRPORT_ID
categorical__AIRPORT_ID_KAPF,AIRPORT_ID
