n_trials,seed,damage_rate,mean_probability,runtime
100,11,0.02,0.027258611023426055,0.5415880999644287
100,42,0.01,0.025064367558807133,0.5687959999777377
100,101,0.05,0.029955560946837066,0.5329779999447055
100,2026,0.02,0.02212099210359156,0.5484370000194758
100,9001,0.04,0.025924028223380448,0.5406825999962166
500,11,0.012,0.02793185924179852,0.5636251000105403
500,42,0.024,0.027281195279210805,0.5658591000246815
500,101,0.034,0.03016747606918216,0.5428887000307441
500,2026,0.03,0.02665032244287431,0.5756961000151932
500,9001,0.03,0.03112172214873135,0.5921252999687567
1000,11,0.016,0.026801539388485254,0.5750977999996394
1000,42,0.029,0.027370505943894386,0.5846594999893568
1000,101,0.033,0.031062146492302416,0.58212919998914
1000,2026,0.037,0.027520578160881996,0.5930672999820672
1000,9001,0.029,0.0308149579949677,0.6207365999580361
2500,11,0.0204,0.027259365777671338,0.6744167999713682
2500,42,0.0292,0.0283089756205678,0.5799719000351615
2500,101,0.0304,0.03040889379195869,0.5809984999941662
2500,2026,0.0272,0.027716937411949038,0.5887177999829873
2500,9001,0.0268,0.02987051077596843,0.6009156999643892
5000,11,0.023,0.027239403487369418,0.6700864000013098
5000,42,0.0284,0.028529931363649667,0.6920202000183053
5000,101,0.0326,0.02895977385509759,0.6386935000191443
5000,2026,0.0274,0.027826880113221705,0.6728213999886066
5000,9001,0.0234,0.02860897260569036,0.6597110999864526
10000,11,0.0257,0.027240689823403955,0.7519987999694422
10000,42,0.0291,0.028596159542165697,0.7112792999832891
10000,101,0.0297,0.02914733437355608,0.713981699955184
10000,2026,0.0285,0.02799938489338383,0.7160413000383414
10000,9001,0.0263,0.02857086047651246,0.6863791000214405
